C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-0.06319,0.7619,4.5528,4.4444,4.6205,6.2783,2.6016,2.5121,2.5243,4.4444,4.6205,6.4706,-1.9048,5.0399,-3.1111,4.5307,2.5765,-0.12882,1.9589,-12.418,3.0918
-0.06319,0.12698,3.9024,5.7327,4.6205,5.6311,1.3008,-0.70853,3.8188,5.7327,4.6205,5.1634,-1.9048,4.4019,-3.1111,2.589,0.0,-5.2818,3.2227,-6.5359,3.7359
-2.5908,7.746,3.252,10.242,5.9406,6.9256,3.9024,5.7327,3.8188,10.242,5.9406,7.1242,-1.9048,3.764,-2.4762,1.9417,-1.2882,-1.4171,4.4866,-6.5359,5.0242
-1.327,2.0317,-1.3008,5.7327,1.3201,4.9838,0.0,5.0886,3.1715,5.7327,1.3201,3.2026,-4.4444,-0.70175,-3.746,-3.8835,-6.4412,-3.9936,3.2227,-3.9216,0.5153
-1.9589,-3.0476,-5.2033,-0.06441,-2.6403,1.1003,-4.5528,-0.70853,0.58252,-0.06441,-2.6403,-1.3725,-8.254,-6.4434,-6.9206,-10.356,-12.238,-4.6377,0.06319,-3.268,-4.6377
-6.3823,-2.4127,-4.5528,-1.3527,-3.9604,-4.0777,-3.252,2.5121,-0.71197,-1.3527,-3.9604,-2.0261,-12.063,-9.6332,-9.4603,-12.945,-14.815,1.8035,-1.2006,-5.8824,-5.9259
5.624,-0.50794,1.9512,1.2238,-0.66007,0.45307,0.65041,1.868,0.58252,1.2238,-0.66007,1.8954,-10.794,-9.6332,-4.381,-9.7087,-9.6618,0.5153,0.06319,-4.5752,-4.6377
6.8878,-1.1429,5.2033,1.868,1.9802,3.0421,2.6016,-0.70853,1.2298,1.868,1.9802,3.8562,-6.9841,-7.7193,1.9683,-4.5307,-3.8647,-3.3494,-0.56872,1.9608,-2.7053
0.56872,6.4762,5.2033,-3.285,0.0,-1.4887,2.6016,-5.2174,-1.3592,-3.285,0.0,1.2418,-2.5397,-4.5295,0.69841,1.2945,0.64412,1.8035,-2.4645,1.3072,-1.4171
-6.3823,4.5714,1.9512,-4.5733,0.66007,-5.3722,1.9512,-4.5733,-0.71197,-4.5733,0.66007,-1.3725,4.4444,1.8501,1.3333,6.4725,5.7971,1.8035,-3.0964,0.65359,-0.12882
-7.6461,7.1111,3.9024,-0.06441,1.9802,-2.7832,6.5041,0.57971,4.466,-0.06441,1.9802,1.8954,12.063,10.144,6.4127,14.887,12.882,1.8035,4.4866,5.2288,6.3124
7.5197,18.540001,11.707,5.0886,5.2805,5.6311,12.358,1.868,5.7605,5.0886,5.2805,7.7778,16.507999,15.247,13.397,20.065001,18.68,-0.12882,7.0142,11.111,9.533
18.893999,10.921,13.659,4.4444,9.901,8.2201,11.057,-7.1498,8.9968,4.4444,9.901,9.085,15.238,16.523001,14.032,19.417,18.68,-1.4171,7.6461,11.765,10.177
3.7283,3.9365,6.5041,1.868,7.2607,1.7476,5.8537,-4.5733,5.1133,1.868,7.2607,4.5098,8.254,12.057,5.1429,14.239,11.594,-2.0612,5.7504,3.268,8.8889
1.2006,3.9365,1.9512,0.57971,1.9802,-0.84142,1.3008,-7.7939,3.8188,0.57971,1.9802,0.58824,3.1746,7.5917,0.69841,10.356,4.5089,-9.1465,5.7504,0.65359,8.8889
-12.07,-1.1429,-6.5041,-3.9291,-2.6403,-7.3139,-3.9024,-7.7939,1.2298,-3.9291,-2.6403,-5.9477,-5.7143,-0.0638,-11.365,1.2945,-6.4412,-5.9259,3.2227,-3.268,5.0242
-16.493,-3.0476,-8.4553,-3.285,1.3201,-4.0777,-2.6016,-1.9968,4.466,-3.285,1.3201,-3.9869,-8.8889,-4.5295,-17.714001,-5.178,-12.882,-0.12882,1.327,-4.5752,0.5153
-10.806,1.3968,-4.5528,0.57971,3.3003,2.3948,3.252,1.2238,5.7605,0.57971,3.3003,2.549,-8.254,-6.4434,-14.54,-9.7087,-14.815,-4.6377,1.9589,-0.65359,-1.4171
6.2559,1.3968,0.0,-0.70853,0.66007,6.2783,3.9024,-4.5733,2.5243,-0.70853,0.66007,5.817,-7.619,-7.7193,-10.73,-12.945,-15.459,-3.9936,1.9589,-3.9216,-3.9936
0.56872,0.7619,0.0,-0.06441,-1.9802,3.0421,1.9512,3.1562,-1.3592,-0.06441,-1.9802,5.1634,-5.0794,-8.3573,-6.2857,-13.592,-14.171,2.4477,-3.0964,3.9216,-7.2142
2.4645,-8.7619,-2.6016,-1.3527,-3.3003,1.1003,-3.9024,-0.06441,-3.9482,-1.3527,-3.3003,1.2418,0.63492,-8.3573,1.9683,-12.945,-9.6618,5.6683,-5.624,5.2288,-8.5024
11.311,-10.032,-1.3008,-1.9968,-2.6403,4.3366,-4.5528,-2.6409,-5.89,-1.9968,-2.6403,1.2418,8.8889,-3.2536,10.222,-7.1197,-1.2882,8.2448,-6.2559,10.458,-7.8583
11.311,-1.7778,1.3008,2.5121,-0.66007,5.6311,0.65041,6.3768,-3.301,2.5121,-0.66007,3.8562,15.873,2.488,14.667,0.0,5.7971,8.2448,-7.5197,18.301001,-5.2818
-2.5908,3.3016,-0.65041,5.0886,1.9802,2.3948,6.5041,7.0209,-1.3592,5.0886,1.9802,5.817,14.603,4.4019,7.0476,2.589,6.4412,5.6683,-3.7283,13.725,-3.3494
-3.2227,4.5714,1.3008,7.0209,7.9208,6.2783,13.659,1.868,2.5243,7.0209,7.9208,11.699,11.429,6.3158,1.3333,5.8252,7.7295,1.8035,0.06319,3.9216,-0.12882
-3.8547,3.9365,3.9024,3.8003,10.561,3.0421,13.659,-0.70853,5.1133,3.8003,10.561,10.392,10.159,8.8676,1.3333,9.0615,10.95,-1.4171,0.6951,0.0,2.4477
-0.06319,8.381,9.1057,-0.70853,6.6007,-2.7832,10.407,-7.7939,6.4078,-0.70853,6.6007,6.4706,11.429,13.333,6.4127,16.181,18.035,-0.12882,5.7504,-0.65359,7.6006
2.4645,11.556,9.1057,-7.7939,0.0,-12.492,3.9024,-14.879,5.7605,-7.7939,0.0,-2.6797,12.063,16.523001,8.9524,22.006001,21.9,-7.2142,9.5419,-2.6144,11.465
-4.4866,7.746,3.252,-12.947,-1.9802,-15.728,-2.6016,-18.1,4.466,-12.947,-1.9802,-9.2157,12.063,15.247,8.9524,20.712,19.323999,-9.1465,7.6461,9.1503,10.177
-17.125,2.0317,-6.5041,-11.659,-3.9604,-15.728,-5.8537,-11.014,-0.06472,-11.659,-3.9604,-11.83,1.2698,6.3158,-5.0159,11.65,5.153,-4.6377,1.9589,-3.268,5.6683
-9.5419,-6.2222,-11.707,-8.438,-4.6205,-11.845,-6.5041,-5.2174,-2.6537,-8.438,-4.6205,-9.8693,-8.254,-5.1675,-12.0,-2.589,-9.6618,-3.3494,-3.7283,-11.111,-0.77295
-10.806,-7.4921,-14.309,-4.5733,-2.6403,-7.3139,-5.2033,-0.70853,-3.301,-4.5733,-2.6403,-6.6013,-14.603,-16.650999,-14.54,-16.181,-21.9,-2.7053,-5.624,-5.8824,-7.2142
-6.3823,-11.937,-13.659,-1.3527,-1.3201,-4.0777,-7.1545,1.868,-3.9482,-1.3527,-1.3201,-6.6013,-17.143,-24.306,-10.73,-25.243,-27.052999,1.8035,-6.2559,-4.5752,-12.367
2.4645,-20.190001,-12.358,0.57971,-1.9802,1.7476,-10.407,5.7327,-3.301,0.57971,-1.9802,-7.2549,-14.603,-26.219999,-5.0159,-27.832001,-25.121,8.8889,-8.1517,-1.3072,-14.3
5.624,-15.746,-12.358,-0.70853,-7.2607,1.7476,-12.358,6.3768,-3.9482,-0.70853,-7.2607,-10.523,-12.063,-23.667999,0.06349,-22.653999,-20.612,0.5153,-8.7836,1.3072,-13.655
-5.1185,-8.7619,-17.561001,-3.285,-11.221,-4.7249,-13.659,3.1562,-5.89,-3.285,-11.221,-14.444,-12.063,-19.841,-6.9206,-18.122999,-20.612,-0.12882,-8.1517,-0.65359,-11.723
-2.5908,-9.3968,-16.910999,-3.9291,-8.5809,-2.7832,-11.707,1.868,-3.301,-3.9291,-8.5809,-13.137,-9.5238,-12.185,-8.8254,-12.298,-16.103001,1.8035,-1.8325,-3.268,-6.57
-6.3823,-10.667,-15.61,-0.70853,-5.9406,-0.19417,-11.707,-0.06441,-2.6537,-0.70853,-5.9406,-12.484,-3.1746,-3.2536,-6.9206,-6.4725,-9.6618,5.0242,-1.8325,-2.6144,-2.7053
-7.0142,-9.3968,-11.707,-1.3527,-5.9406,-6.0194,-12.358,1.868,-5.2427,-1.3527,-5.9406,-14.444,1.9048,3.126,-0.57143,-0.64725,-0.64412,-6.57,-3.7283,-1.9608,-0.77295
-1.9589,-1.1429,-1.9512,-0.06441,-5.9406,-6.0194,-7.1545,2.5121,-4.5955,-0.06441,-5.9406,-10.523,5.7143,8.2297,3.2381,8.4142,10.306,-3.9936,-1.8325,2.6144,3.7359
-7.6461,1.3968,1.3008,1.868,-0.66007,-5.3722,-3.252,-0.70853,-1.3592,1.868,-0.66007,-7.2549,5.0794,8.8676,2.6032,11.65,14.815,-0.77295,-0.56872,-4.5752,4.38
-1.327,1.3968,4.5528,2.5121,1.3201,-4.0777,-1.9512,-0.70853,-0.71197,2.5121,1.3201,-3.3333,6.3492,10.144,7.0476,13.592,18.68,-6.57,1.9589,-5.2288,5.6683
2.4645,0.7619,7.1545,3.1562,1.9802,-0.19417,1.3008,0.57971,-0.06472,3.1562,1.9802,0.58824,5.0794,8.8676,7.6825,12.298,17.391001,-0.77295,4.4866,-6.5359,6.9565
6.2559,2.6667,11.057,4.4444,3.9604,2.3948,5.2033,3.1562,0.58252,4.4444,3.9604,4.5098,2.5397,5.6778,8.9524,9.7087,14.815,1.8035,3.2227,-3.268,5.6683
