C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-5.977,-10.05,-10.033,-5.89,-10.706,-10.101,-18.407,-3.9801,-16.797,-8.9109,-8.8235,-17.888,-7.323,-14.07,-16.311,-13.198,-15.321,-7.1022,-18.654
-5.977,-10.05,-11.023,-7.8317,-8.7356,-13.131,-21.333,-6.9652,-21.699,-8.9109,-11.765,-18.878,-8.3592,-14.07,-17.327,-14.213,-15.321,-3.0821,-21.609
-4.9918,-9.0452,-11.023,-6.8608,-7.7504,-12.121,-17.431,-5.9701,-20.719,-7.9208,-10.784,-14.917,-7.323,-13.065,-14.281,-14.213,-15.321,0.93802,-18.654
-6.9622,-9.0452,-10.033,-4.9191,-7.7504,-8.0808,-14.504,-5.9701,-17.778,-7.9208,-8.8235,-10.957,-7.323,-11.055,-11.235,-12.183,-16.282,-6.0972,-14.713
-9.9179,-10.05,-10.033,-3.9482,-9.7209,-7.0707,-12.553,-4.9751,-17.778,-10.891,-7.8431,-9.967,-7.323,-11.055,-12.25,-12.183,-15.321,-12.127,-10.772
-12.874,-18.09,-16.964,-5.89,-16.617,-12.121,-14.504,-7.9602,-20.719,-19.802,-12.745,-14.917,-12.504,-18.09,-18.342,-16.244,-18.205,-18.157,-11.757
-16.814,-24.121,-22.904,-9.7735,-20.558,-18.182,-17.431,-13.93,-16.797,-26.733,-19.608,-16.898,-19.758,-21.106,-20.372,-18.274,-19.167,-22.178,-13.727
-16.814,-21.106,-23.894,-8.8026,-14.647,-17.172,-12.553,-11.94,-12.876,-25.743,-18.627,-14.917,-21.831,-19.095,-18.342,-15.228,-11.474,-18.157,-8.8013
-14.844,-17.085,-20.924,-4.9191,-9.7209,-12.121,-8.6504,-8.9552,-10.915,-21.782,-15.686,-9.967,-17.686,-15.075,-13.266,-9.1371,-6.6667,-10.117,-4.8604
-14.844,-15.075,-16.964,-3.9482,-11.691,-9.0909,-8.6504,-7.9602,-6.9935,-17.822,-12.745,-9.967,-15.613,-13.065,-11.235,-7.1066,-11.474,-13.132,-8.8013
