C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
3.7283,6.7302,6.8293,3.9216,3.9409,11.447,13.527,6.7314,8.6731,3.9216,3.9409,11.765,-9.5238,-1.9683,-6.5719,2.8986,0.06441,-11.723,3.873,-15.686,2.7697
1.8325,1.9683,0.97561,-1.9608,2.9557,9.4959,12.56,0.90615,7.7023,-1.9608,2.9557,10.784,-14.286,-6.7302,-10.363,-4.8309,-4.7665,-15.588,4.8254,-18.627001,-4.9597
2.7804,2.9206,4.878,6.8627,5.9113,12.423,15.459,0.90615,11.586,6.8627,5.9113,15.686,-8.5714,-2.9206,-7.5197,-3.8647,-2.8341,-0.12882,3.873,-10.784,-4.9597
-0.06319,0.06349,3.9024,5.8824,2.9557,9.4959,12.56,0.90615,5.7605,5.8824,2.9557,13.725,-6.6667,-0.06349,-8.4676,-4.8309,-3.8003,3.7359,1.0159,-10.784,4.7021
-4.8025,-7.5556,-2.9268,-2.9412,-2.9557,3.6423,2.8986,0.90615,-1.0356,-2.9412,-2.9557,5.8824,-8.5714,-4.8254,-10.363,-11.594,-8.6312,0.83736,-0.88889,-7.8431,0.83736
-6.6983,-11.365,-7.8049,-3.9216,-7.8818,-1.2358,-4.8309,-0.06472,-4.9191,-3.9216,-7.8818,-3.9216,-6.6667,-6.7302,-9.4155,-12.56,-9.5974,-2.0612,-2.7937,-2.9412,-0.12882
-11.438,-10.413,-11.707,-4.902,-10.837,-8.065,-13.527,-3.9482,-5.89,-4.902,-10.837,-10.784,-6.6667,-3.873,-11.311,-8.6957,-9.5974,-5.9259,-2.7937,-6.8627,8.5668
-8.594,-1.8413,-8.7805,-0.98039,-10.837,-8.065,-11.594,-0.06472,-1.0356,-0.98039,-10.837,-10.784,-2.8571,-0.06349,-5.624,0.0,-4.7665,-3.9936,5.7778,-3.9216,5.6683
-6.6983,-4.6984,-10.732,-3.9216,-11.823,-5.1382,-10.628,-4.9191,-4.9191,-3.9216,-11.823,-12.745,-0.95238,-1.0159,-1.8325,-2.8986,-4.7665,-0.12882,1.9683,1.9608,-10.757
-12.385,-14.222,-19.511999,-11.765,-14.778,-12.943,-10.628,-4.9191,-10.744,-11.765,-14.778,-19.608,-3.8095,-9.5873,-4.6761,-10.628,-10.564,-8.8245,-10.413,-0.98039,-21.385
-11.438,-17.079,-19.511999,-16.667,-11.823,-14.894,-15.459,-4.9191,-11.715,-16.667,-11.823,-20.587999,-2.8571,-9.5873,-2.7804,-8.6957,-8.6312,-8.8245,-10.413,0.98039,-11.723
-5.7504,-11.365,-11.707,-16.667,-12.808,-8.065,-16.424999,-2.9773,-8.8026,-16.667,-12.808,-16.667,1.9048,-0.06349,1.9589,-0.96618,-1.868,-3.9936,-7.5556,5.8824,-5.9259
