C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
15.66,15.302,16.827999,11.003,19.511999,18.396999,12.882,14.679,4.4444,11.003,19.511999,15.764,8.254,7.5917,14.667,15.385,16.103001,-0.76923,-14.54,5.8824,8.8462
16.289,12.762,15.534,16.827999,20.813,12.628,5.153,14.038,14.75,16.827999,20.813,10.509,6.9841,5.0399,14.032,12.179,14.815,-2.6923,-5.0159,7.8431,3.7179
6.2264,1.3333,5.178,7.1197,6.5041,-0.19231,-6.4412,6.9872,5.0886,7.1197,6.5041,-0.65681,-0.63492,-0.0638,5.1429,3.2051,6.4412,-2.0513,10.857,1.3072,-2.6923
5.5975,0.69841,3.2362,0.64725,2.6016,-2.1154,-1.9324,3.141,-1.3527,0.64725,2.6016,-1.3136,-4.4444,3.126,3.873,3.8462,5.153,13.333,17.841,-1.9608,5.0
4.3396,0.06349,3.2362,-3.2362,-1.9512,3.6538,-0.64412,9.5513,-0.70853,-3.2362,-1.9512,0.65681,-2.5397,3.764,3.2381,2.5641,3.8647,21.025999,12.762,0.0,3.7179
1.195,2.6032,3.2362,-8.4142,-4.5528,6.2179,9.6618,6.3462,-3.9291,-8.4142,-4.5528,4.5977,-1.2698,-1.3397,0.06349,0.0,0.0,10.128,1.3333,0.65359,-0.76923
0.56604,-1.2063,1.9417,9.0615,-7.8049,3.0128,7.0853,1.2179,-0.70853,9.0615,-7.8049,5.2545,-2.5397,-7.0813,-3.1111,-6.4103,-5.7971,3.7179,-3.1111,-0.65359,-5.8974
-1.9497,-1.8413,-0.64725,11.65,1.9512,-2.1154,7.7295,-3.2692,-3.285,11.65,1.9512,3.2841,-0.63492,-5.1675,-6.2857,-8.9744,-10.306,-7.8205,-10.095,-3.268,-5.2564
-3.2075,-1.2063,-2.589,9.0615,16.26,-3.3974,-1.2882,-1.3462,1.2238,9.0615,16.26,0.0,-1.2698,-2.6156,-8.1905,-7.0513,-10.95,-15.513,-3.1111,-2.6144,-4.6154
-6.3522,-1.8413,-5.178,6.4725,4.5528,-4.0385,-4.5089,-1.9872,7.6651,6.4725,4.5528,-2.6273,-2.5397,-0.0638,-9.4603,-4.4872,-10.95,-14.872,-1.8413,-4.5752,-4.6154
-6.9811,0.06349,-3.8835,-3.2362,3.252,-3.3974,-1.9324,-0.70513,3.8003,-3.2362,3.252,-1.9704,0.0,4.4019,-7.5556,1.2821,-5.7971,0.51282,-4.381,-0.65359,1.1538
2.4528,7.0476,4.5307,-9.7087,-6.5041,4.2949,1.2882,7.6282,0.57971,-9.7087,-6.5041,3.2841,5.0794,6.9537,2.6032,10.897,4.5089,10.128,-3.1111,6.5359,8.8462
6.2264,10.857,10.356,-5.8252,-10.407,8.141,8.3736,5.0641,-8.438,-5.8252,-10.407,8.5386,3.8095,5.0399,5.1429,13.462,9.6618,8.8462,-11.365,0.0,8.2051
4.9686,6.4127,7.1197,11.003,0.65041,1.0897,0.0,-3.2692,-8.438,11.003,0.65041,3.2841,1.9048,1.8501,4.5079,8.3333,8.3736,1.1538,-14.54,-3.268,-2.0513
3.7107,2.6032,3.2362,12.298,7.8049,-2.7564,-1.9324,-3.2692,-11.659,12.298,7.8049,-1.3136,3.8095,0.57416,5.1429,4.4872,6.4412,-2.0513,-4.381,-2.6144,-1.4103
-5.0943,-5.0159,-4.5307,-1.9417,1.3008,-6.6026,-1.2882,3.141,-21.965,-1.9417,1.3008,-6.5681,0.63492,-1.3397,-0.57143,-1.9231,0.64412,5.0,4.5079,-5.2288,-2.6923
-5.7233,-10.095,-7.1197,-0.64725,5.2033,-7.2436,-11.594,5.7051,-6.5056,-0.64725,5.2033,-7.8818,2.5397,3.126,-1.2063,-3.8462,-0.64412,-7.8205,0.06349,-2.6144,-2.0513
-3.8365,-7.5556,-5.178,3.2362,1.3008,-7.2436,-14.171,-0.70513,12.818,3.2362,1.3008,-6.5681,7.619,6.9537,1.9683,-1.9231,1.2882,-7.8205,-2.4762,4.5752,0.51282
