C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
4.9921,1.3968,2.6016,8.9533,13.201,9.5146,9.7561,7.0209,7.7023,8.9533,13.201,10.392,-10.159,-11.547,-1.2063,-7.767,-8.3736,1.8035,-2.4645,0.0,-6.57
1.8325,0.7619,-4.5528,4.4444,8.5809,6.9256,7.1545,3.1562,4.466,4.4444,8.5809,5.817,-13.968,-16.650999,-2.4762,-11.65,-13.527,5.0242,-4.3602,0.0,-8.5024
-7.6461,-1.1429,-11.707,3.8003,4.6205,1.7476,3.252,3.1562,4.466,3.8003,4.6205,1.2418,-16.507999,-17.927,-7.5556,-11.65,-16.747,8.2448,-2.4645,-1.9608,-7.8583
-7.0142,2.6667,-9.7561,-0.06441,1.9802,-2.7832,1.9512,1.868,1.2298,-0.06441,1.9802,-0.71895,-13.333,-12.823,-6.9206,-5.8252,-12.882,2.4477,-1.2006,-3.268,-4.6377
1.2006,5.8413,-1.9512,-3.9291,2.6403,-2.1359,2.6016,-3.285,4.466,-3.9291,2.6403,-0.71895,-6.9841,-3.8915,-2.4762,3.8835,-3.2206,-2.0612,5.1185,-3.9216,2.4477
10.047,4.5714,1.3008,-5.2174,1.9802,0.45307,1.9512,-5.8615,4.466,-5.2174,1.9802,-1.3725,3.1746,4.4019,7.0476,8.4142,4.5089,-4.6377,7.6461,5.2288,6.9565
8.1517,2.0317,0.0,-7.1498,-3.9604,-2.7832,-1.9512,-3.285,0.58252,-7.1498,-3.9604,-4.6405,10.794,10.144,11.492,8.4142,7.7295,-0.77295,3.8547,7.8431,6.9565
-1.327,-0.50794,-0.65041,-8.438,-7.9208,-6.6667,-4.5528,-4.5733,-3.301,-8.438,-7.9208,-7.2549,14.603,13.333,10.857,9.0615,9.6618,4.38,2.5908,7.1895,6.9565
0.56872,2.0317,3.9024,-11.014,-9.2409,-8.6084,-6.5041,-7.1498,-5.89,-11.014,-9.2409,-7.9085,19.048,17.160999,13.397,13.592,14.815,1.8035,0.06319,9.1503,8.2448
0.56872,3.9365,7.8049,-10.37,-6.6007,-7.9612,-5.2033,-7.1498,-5.89,-10.37,-6.6007,-5.9477,19.683001,17.799,12.127,16.827999,18.035,-0.12882,1.9589,9.8039,8.2448
-3.8547,2.0317,7.8049,-5.2174,-3.9604,-4.7249,-2.6016,-5.2174,-2.6537,-5.2174,-3.9604,-2.6797,13.333,12.057,3.873,11.003,12.238,0.5153,2.5908,6.5359,6.3124
-0.6951,2.0317,6.5041,3.8003,3.9604,3.0421,5.8537,-0.70853,1.877,3.8003,3.9604,5.817,5.0794,3.126,-1.2063,0.64725,4.5089,-0.12882,0.6951,3.268,1.1594
7.5197,-3.0476,3.252,7.6651,11.221,9.5146,11.057,-1.9968,7.055,7.6651,11.221,11.699,-1.9048,-5.8054,-0.57143,-10.356,-3.2206,-7.8583,-1.2006,2.6144,-3.9936
-0.6951,-3.6825,-4.5528,8.3092,9.2409,6.9256,11.707,0.57971,10.291,8.3092,9.2409,11.046,-10.159,-14.737,-8.1905,-17.476,-13.527,-3.9936,-2.4645,-2.6144,-7.8583
-15.861,2.0317,-9.1057,7.0209,5.9406,1.1003,8.4553,2.5121,8.3495,7.0209,5.9406,6.4706,-18.413,-20.478001,-17.714001,-16.181,-20.612,-1.4171,-0.56872,-9.8039,-8.5024
-18.389,2.6667,-11.707,3.1562,2.6403,-2.1359,1.3008,-2.6409,4.466,3.1562,2.6403,0.58824,-23.492001,-21.115999,-21.524,-11.003,-21.9,-5.2818,-1.8325,-13.072,-7.8583
-19.021,3.3016,-12.358,-0.70853,1.9802,-6.6667,-3.252,-4.5733,2.5243,-0.70853,1.9802,-3.3333,-24.127001,-17.927,-22.794001,-5.8252,-20.612,-7.2142,0.6951,-15.033,-4.6377
-13.333,5.2063,-7.8049,-0.70853,-0.66007,-5.3722,-2.6016,-1.9968,1.877,-0.70853,-0.66007,-2.6797,-19.048,-10.909,-16.444,0.64725,-12.882,-6.57,3.8547,-11.765,-0.12882
1.8325,5.2063,-0.65041,0.57971,-2.6403,-2.1359,-1.9512,-1.3527,1.877,0.57971,-2.6403,-2.0261,-8.254,-2.6156,0.06349,6.4725,-0.64412,-7.8583,4.4866,-3.9216,2.4477
7.5197,6.4762,3.252,-1.3527,-2.6403,-0.84142,-0.65041,-1.3527,-0.71197,-1.3527,-2.6403,-2.0261,0.63492,3.764,10.857,9.0615,9.0177,1.1594,1.327,0.65359,3.0918
17.629999,1.3968,8.4553,-2.6409,-2.6403,3.0421,-0.65041,-0.06441,-3.301,-2.6409,-2.6403,-1.3725,8.254,6.9537,21.016001,8.4142,16.103001,2.4477,-1.8325,4.5752,1.1594
18.261999,-1.7778,13.008,-1.9968,-2.6403,4.3366,-0.65041,3.1562,-4.5955,-1.9968,-2.6403,-0.71895,15.238,10.144,26.73,9.7087,21.9,6.9565,-3.0964,9.8039,2.4477
5.624,-1.7778,11.057,-0.70853,-5.2805,1.7476,-1.9512,3.8003,-5.89,-0.70853,-5.2805,-0.71895,17.143,12.057,21.016001,10.356,21.9,8.8889,-1.8325,9.1503,3.7359
1.8325,-1.7778,7.8049,1.868,-3.3003,2.3948,-2.6016,3.8003,-5.2427,1.868,-3.3003,-0.06536,16.507999,12.695,15.302,9.7087,19.323999,5.0242,-1.2006,8.4967,3.0918
1.8325,-3.0476,2.6016,0.57971,-1.9802,3.0421,-3.9024,3.8003,-5.89,0.57971,-1.9802,-0.06536,17.778,13.971,10.857,9.7087,16.103001,3.7359,-1.8325,8.4967,3.0918
1.2006,-7.4921,-3.9024,-0.70853,-3.3003,1.7476,-7.8049,4.4444,-7.1845,-0.70853,-3.3003,-2.6797,20.316999,16.523001,10.222,9.0615,14.171,-0.12882,-3.7283,12.418,4.38
11.943,-7.4921,-4.5528,1.2238,-5.2805,3.0421,-7.8049,1.2238,-9.1262,1.2238,-5.2805,-2.0261,21.587,17.160999,11.492,8.4142,13.527,-1.4171,-6.2559,12.418,3.7359
3.0964,-15.111,-13.008,-1.3527,-7.9208,-2.1359,-13.008,2.5121,-12.362,-1.3527,-7.9208,-7.9085,16.507999,11.419,5.1429,0.0,5.7971,6.3124,-9.4155,9.1503,-1.4171
1.8325,-13.841,-13.659,-1.3527,-5.9406,-1.4887,-9.7561,1.2238,-7.8317,-1.3527,-5.9406,-7.2549,15.873,9.5056,6.4127,-3.2362,2.5765,6.3124,-8.1517,11.111,-2.7053
-0.6951,-6.8571,-10.407,-3.285,-1.9802,-4.0777,-3.252,0.57971,-2.6537,-3.285,-1.9802,-4.6405,13.333,7.5917,5.1429,-4.5307,-1.2882,5.0242,-4.3602,9.1503,-1.4171
-10.174,-6.8571,-11.057,-1.9968,-2.6403,-6.0194,-1.9512,2.5121,-3.301,-1.9968,-2.6403,-3.9869,7.619,3.764,-1.8413,-8.4142,-7.7295,3.7359,-2.4645,4.5752,-2.7053
-7.6461,-2.4127,-5.2033,-0.70853,-3.3003,-3.4304,1.9512,2.5121,-1.3592,-0.70853,-3.3003,-0.06536,5.0794,2.488,-2.4762,-5.178,-7.7295,-0.77295,-1.8325,4.5752,-1.4171
-3.8547,3.3016,0.65041,-0.06441,-1.9802,-0.19417,3.9024,1.2238,-0.06472,-0.06441,-1.9802,3.2026,1.9048,1.8501,-5.0159,0.0,-6.4412,-3.3494,-0.56872,0.65359,-0.77295
1.8325,5.8413,5.8537,2.5121,0.0,3.0421,5.2033,1.2238,-0.06472,2.5121,0.0,5.817,-1.9048,-0.0638,-6.2857,3.2362,-3.8647,-5.9259,0.06319,-3.9216,-0.77295
6.8878,9.6508,9.1057,2.5121,2.6403,6.9256,5.8537,-0.70853,-0.06472,2.5121,2.6403,7.7778,-3.8095,-1.3397,-4.381,5.178,-1.2882,-3.9936,1.327,-4.5752,0.5153
4.9921,5.2063,7.1545,3.8003,2.6403,7.5728,5.2033,-0.06441,1.877,3.8003,2.6403,7.1242,-5.0794,-3.2536,-2.4762,3.8835,0.0,-3.9936,2.5908,-5.2288,1.1594
-7.0142,0.12698,0.65041,3.1562,0.0,1.1003,1.9512,1.868,1.877,3.1562,0.0,3.8562,-5.0794,-5.1675,-3.1111,1.2945,-0.64412,-2.7053,0.06319,-5.8824,-0.12882
-7.6461,2.0317,-0.65041,4.4444,2.6403,0.45307,1.9512,2.5121,1.877,4.4444,2.6403,3.2026,0.0,-1.9777,1.3333,3.8835,2.5765,-0.12882,2.5908,-1.9608,1.1594
-3.2227,2.6667,0.0,3.8003,1.3201,-0.19417,-1.3008,1.2238,-0.71197,3.8003,1.3201,1.2418,1.9048,-0.70175,3.873,4.5307,4.5089,-3.9936,2.5908,0.65359,1.8035
-0.06319,2.6667,3.252,3.8003,-1.3201,2.3948,-3.252,3.1562,-3.301,3.8003,-1.3201,0.58824,3.8095,-0.70175,4.5079,5.178,5.7971,-0.77295,1.9589,5.8824,3.0918
4.3602,1.3968,3.252,1.868,-1.3201,3.6893,-5.2033,1.2238,-5.2427,1.868,-1.3201,-0.06536,4.4444,0.57416,3.2381,3.8835,5.7971,1.1594,0.06319,4.5752,2.4477
6.8878,-0.50794,3.9024,1.2238,-4.6205,4.3366,-4.5528,3.1562,-9.1262,1.2238,-4.6205,0.58824,7.619,2.488,5.7778,2.589,8.3736,8.8889,-3.0964,10.458,-0.77295
13.839,-2.4127,7.8049,2.5121,-5.9406,8.2201,-1.9512,5.7327,-10.421,2.5121,-5.9406,3.8562,13.968,5.0399,14.667,0.64725,12.238,15.974,-7.5197,20.261,-4.6377
10.679,-1.7778,9.1057,1.868,-3.9604,4.3366,0.0,7.0209,-9.1262,1.868,-3.9604,3.8562,15.873,5.6778,17.841,-1.2945,12.882,16.618,-9.4155,20.915001,-6.57
13.207,-1.7778,10.407,-3.285,-5.9406,1.7476,-2.6016,1.868,-8.479,-3.285,-5.9406,1.2418,15.873,6.9537,21.650999,-0.64725,14.171,11.465,-6.8878,19.608,-5.2818
6.8878,-3.0476,5.8537,-7.7939,-12.541,-2.1359,-6.5041,-2.6409,-8.479,-7.7939,-12.541,-3.3333,11.429,5.0399,17.841,0.64725,11.594,6.3124,-3.0964,15.033,-2.7053
-0.06319,-2.4127,1.9512,-8.438,-9.901,-4.0777,-5.2033,-4.5733,-6.5372,-8.438,-9.901,-4.6405,4.4444,1.2121,10.857,1.2945,5.7971,1.8035,-2.4645,6.5359,-0.77295
2.4645,-3.6825,-1.9512,-4.5733,-3.3003,-2.7832,-1.3008,-5.2174,-2.0065,-4.5733,-3.3003,-1.3725,-1.9048,-3.2536,5.7778,-0.64725,0.0,-5.2818,-1.2006,-0.65359,-0.77295
0.56872,-2.4127,-5.8537,0.57971,2.6403,1.7476,3.9024,-2.6409,3.1715,0.57971,2.6403,3.8562,-6.3492,-8.3573,0.06349,-5.178,-7.7295,-5.2818,0.06319,-3.9216,-1.4171
