C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-7.6461,-8.5079,-8.7805,-14.706,-9.8522,-10.992,-8.6957,-10.744,-5.89,-14.706,-9.8522,-13.725,-1.9048,-1.0159,-8.4676,-1.9324,-5.7327,-8.8245,-3.746,0.0,-10.757
-3.8547,1.0159,0.0,-9.8039,-7.8818,-5.1382,-4.8309,-4.9191,-2.9773,-9.8039,-7.8818,-6.8627,0.0,0.88889,-7.5197,4.8309,-0.90177,-8.8245,1.9683,0.0,-6.8921
-5.7504,6.7302,0.0,-3.9216,-6.8966,-7.0894,-0.96618,-4.9191,-1.0356,-3.9216,-6.8966,-5.8824,0.0,8.5079,-9.4155,9.6618,0.06441,-10.757,2.9206,-3.9216,6.6345
-18.073,3.873,-8.7805,-5.8824,-8.867,-11.967,-0.96618,-12.686,-2.9773,-5.8824,-8.867,-10.784,-7.619,2.7937,-18.893999,2.8986,-7.6651,-17.52,0.06349,-14.706,1.8035
-18.073,4.8254,-7.8049,-3.9216,-6.8966,-9.0407,0.0,-8.8026,-3.9482,-3.9216,-6.8966,-6.8627,-10.476,-0.06349,-19.841999,0.0,-9.5974,-11.723,3.873,-19.608,0.83736
-3.8547,8.6349,1.9512,2.9412,3.9409,0.71545,1.9324,1.877,4.7896,2.9412,3.9409,2.9412,-7.619,1.8413,-8.4676,1.9324,-1.868,2.7697,1.9683,-18.627001,2.7697
9.4155,15.302,13.659,12.745,17.733999,13.398,11.594,11.586,11.586,12.745,17.733999,15.686,-5.7143,3.746,-0.88468,6.7633,5.8615,-8.8245,6.7302,-17.646999,6.6345
16.997999,17.205999,19.511999,18.627001,18.719,16.325001,20.290001,9.644,10.615,18.627001,18.719,21.569,-3.8095,3.746,6.6983,8.6957,11.659,-3.9936,9.5873,-9.8039,7.6006
20.790001,17.205999,20.488001,19.608,17.733999,17.301001,17.391001,10.615,12.557,19.608,17.733999,21.569,1.9048,3.746,12.385,8.6957,15.523,3.7359,6.7302,-5.8824,-1.095
19.841999,12.444,20.488001,22.549,19.704,19.252001,19.323999,16.440001,12.557,22.549,19.704,22.549,6.6667,1.8413,13.333,4.8309,15.523,3.7359,3.873,-3.9216,-7.8583
