C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
0.9901,-1.0774,2.8383,7.8049,9.5974,8.2211,12.06,5.8456,9.9832,7.8049,9.5974,9.7561,-8.4676,-10.772,-5.0251,-12.0,-8.0808,1.9237,-2.0065,-4.7947,-12.553
0.9901,-2.0875,-0.13201,2.9268,3.8003,5.1123,9.0452,1.9048,3.9531,2.9268,3.8003,6.8293,-8.4676,-9.7865,-7.0352,-10.0,-8.0808,-0.06634,-2.9773,-6.7652,-10.602
2.9703,-1.0774,-0.13201,0.0,0.90177,3.0397,6.0302,-4.9918,-0.067,0.0,0.90177,2.9268,-8.4676,-7.8161,-5.0251,-7.0,-6.0606,-5.0415,-2.9773,-6.7652,-7.6748
-2.9703,-2.0875,-3.1023,1.9512,2.8341,0.96718,5.0251,1.9048,0.93802,1.9512,2.8341,1.9512,-10.363,-8.8013,-9.0452,-7.0,-8.0808,-4.0464,-2.0065,-9.7209,-7.6748
1.9802,5.9933,4.8185,6.8293,8.6312,8.2211,11.055,11.757,14.003,6.8293,8.6312,8.7805,-2.7804,-0.91954,-1.005,0.0,-1.0101,6.8988,5.7605,-2.8243,-1.8211
2.9703,1.9529,1.8482,0.0,2.8341,4.076,7.0352,3.8752,9.9832,0.0,2.8341,5.8537,-5.624,-4.8604,-4.0201,-3.0,-3.0303,2.9187,1.877,-4.7947,-5.7236
0.0,-6.1279,-3.1023,-2.9268,-3.9291,-0.06909,0.0,0.91954,-2.0771,-2.9268,-3.9291,0.0,-14.155,-14.713,-10.05,-12.0,-10.101,-6.0365,-7.8317,-11.691,-14.504
2.9703,-2.0875,0.85809,3.9024,2.8341,5.1123,3.0151,3.8752,-0.067,3.9024,2.8341,3.9024,-12.259,-12.742,-8.0402,-10.0,-8.0808,-2.0564,-4.9191,-9.7209,-12.553
2.9703,1.9529,4.8185,3.9024,4.7665,7.1848,4.0201,5.8456,2.9481,3.9024,4.7665,5.8537,-9.4155,-7.8161,-5.0251,-6.0,-5.0505,6.8988,-2.0065,-5.78,-7.6748
2.9703,-1.0774,1.8482,1.9512,0.90177,6.1485,2.0101,4.8604,2.9481,1.9512,0.90177,2.9268,-11.311,-10.772,-7.0352,-8.0,-8.0808,-4.0464,-3.9482,-7.7504,-10.602
6.9307,2.963,4.8185,5.8537,6.6989,9.2573,6.0302,8.8013,6.9682,5.8537,6.6989,6.8293,-6.5719,-6.8309,-3.0151,-4.0,-4.0404,3.9138,-0.06472,-3.8095,-6.6992
1.9802,1.9529,1.8482,0.97561,2.8341,4.076,4.0201,3.8752,2.9481,0.97561,2.8341,2.9268,-9.4155,-8.8013,-6.0302,-5.0,-5.0505,3.9138,-3.9482,-8.7356,-9.626
0.9901,4.9832,2.8383,1.9512,1.868,2.0035,7.0352,-2.0361,2.9481,1.9512,1.868,3.9024,-6.5719,-5.8456,-3.0151,-3.0,-3.0303,-1.0614,-1.0356,-6.7652,-6.6992
11.881,12.054,9.769,8.7805,8.6312,10.294,14.07,2.89,12.998,8.7805,8.6312,9.7561,1.0111,1.0509,6.0302,4.0,4.0404,-0.06634,6.7314,2.1018,1.1057
0.9901,4.9832,1.8482,3.9024,3.8003,3.0397,6.0302,12.742,6.9682,3.9024,3.8003,2.9268,-2.7804,-3.8752,0.0,-1.0,-2.0202,-1.0614,3.8188,-2.8243,-3.7724
-8.9109,-4.1077,-7.0627,-1.9512,-2.963,-7.323,-3.0151,2.89,-1.072,-1.9512,-2.963,-6.8293,-5.624,-7.8161,-5.0251,-8.0,-7.0707,-6.0365,-2.0065,-6.7652,-8.6504
0.0,-0.06734,-4.0924,0.97561,2.8341,-3.1779,2.0101,-4.0066,3.9531,0.97561,2.8341,-2.9268,-0.88468,-2.89,0.0,-3.0,-3.0303,-3.0514,-0.06472,-2.8243,-3.7724
-1.9802,2.963,-3.1023,0.97561,3.8003,-3.1779,4.0201,0.91954,3.9531,0.97561,3.8003,-0.97561,1.0111,2.0361,1.005,1.0,0.0,-1.0614,2.8479,0.13136,1.1057
-5.9406,-0.06734,-6.0726,1.9512,-0.06441,-6.2867,0.0,0.91954,1.943,1.9512,-0.06441,-2.9268,-0.88468,0.06568,-4.0201,0.0,-3.0303,-10.017,1.877,-3.8095,1.1057
-7.9208,-0.06734,-6.0726,-3.9024,-0.06441,-7.323,-1.005,-8.9327,3.9531,-3.9024,-0.06441,-4.878,-1.8325,1.0509,-5.0251,1.0,-3.0303,-4.0464,0.90615,-5.78,1.1057
-4.9505,-1.0774,-5.0825,-4.878,1.868,-3.1779,0.0,-3.0213,2.9481,-4.878,1.868,-1.9512,-2.7804,0.06568,-5.0251,0.0,-3.0303,-0.06634,-1.0356,-5.78,-0.84553
0.9901,2.963,-0.13201,7.8049,8.6312,5.1123,6.0302,7.8161,4.9581,7.8049,8.6312,3.9024,1.0111,4.9918,-1.005,4.0,1.0101,2.9187,0.90615,-0.85386,2.0813
-1.9802,-2.0875,-4.0924,3.9024,-0.06441,-1.1054,-1.005,5.8456,-4.0871,3.9024,-0.06441,-0.97561,-2.7804,1.0509,-6.0302,0.0,-3.0303,0.92869,-2.0065,-3.8095,0.13008
-8.9109,-8.1481,-10.033,-2.9268,-5.8615,-9.3955,-7.0352,-1.0509,-9.1122,-2.9268,-5.8615,-8.7805,-7.5197,-4.8604,-9.0452,-7.0,-8.0808,-6.0365,-6.8608,-7.7504,-3.7724
0.9901,-1.0774,-4.0924,0.0,0.90177,-3.1779,1.005,1.9048,2.9481,0.0,0.90177,-1.9512,-2.7804,-0.91954,-3.0151,-3.0,-4.0404,0.92869,-2.0065,-1.8391,1.1057
2.9703,3.9731,-0.13201,0.97561,5.7327,-0.06909,6.0302,0.91954,5.9631,0.97561,5.7327,1.9512,0.06319,1.0509,3.0151,2.0,0.0,0.92869,4.7896,1.1166,4.0325
-0.9901,3.9731,-0.13201,0.0,3.8003,-1.1054,3.0151,-4.0066,3.9531,0.0,3.8003,1.9512,-0.88468,0.06568,1.005,3.0,0.0,-4.0464,2.8479,-0.85386,3.0569
0.9901,7.0034,2.8383,-1.9512,4.7665,-0.06909,3.0151,-9.9179,4.9581,-1.9512,4.7665,1.9512,3.8547,4.9918,4.0201,8.0,5.0505,-8.0265,1.877,2.1018,8.9106
1.9802,4.9832,1.8482,6.8293,11.53,3.0397,4.0201,-3.0213,6.9682,6.8293,11.53,2.9268,1.9589,4.0066,2.0101,7.0,4.0404,-0.06634,2.8479,2.1018,5.9837
1.9802,7.0034,1.8482,7.8049,13.462,0.96718,9.0452,5.8456,14.003,7.8049,13.462,3.9024,1.9589,4.0066,1.005,5.0,3.0303,9.8839,7.7023,1.1166,5.0081
-6.9307,-1.0774,-6.0726,-1.9512,4.7665,-8.3592,1.005,-1.0509,3.9531,-1.9512,4.7665,-5.8537,-4.6761,-3.8752,-6.0302,-4.0,-5.0505,-3.0514,1.877,-3.8095,-4.748
-13.861,-9.1582,-16.964001,-4.878,-4.8953,-14.577,-7.0352,-7.9475,-5.0921,-4.878,-4.8953,-13.659,-12.259,-11.757,-13.065,-12.0,-14.141,-9.0216,-4.9191,-11.691,-13.528
-7.9208,-1.0774,-10.033,-2.9268,-1.9968,-10.432,-2.0101,-3.0213,1.943,-2.9268,-1.9968,-8.7805,-5.624,-3.8752,-5.0251,-5.0,-7.0707,-1.0614,1.877,-4.7947,-5.7236
-5.9406,-2.0875,-10.033,-0.97561,-0.06441,-8.3592,-3.0151,-3.0213,2.9481,-0.97561,-0.06441,-7.8049,-5.624,-3.8752,-6.0302,-5.0,-7.0707,-4.0464,1.877,-5.78,-3.7724
-9.901,-5.1178,-13.993,-1.9512,-1.9968,-10.432,-4.0201,-3.0213,5.9631,-1.9512,-1.9968,-10.732,-6.5719,-6.8309,-7.0352,-8.0,-10.101,-4.0464,0.90615,-5.78,-5.7236
-5.9406,-5.1178,-13.993,-4.878,-4.8953,-7.323,-3.0151,-5.977,8.9782,-4.878,-4.8953,-8.7805,-7.5197,-8.8013,-8.0402,-9.0,-12.121,0.92869,-1.0356,-4.7947,-5.7236
-1.9802,-4.1077,-10.033,0.0,0.90177,-3.1779,-1.005,8.8013,0.93802,0.0,0.90177,-5.8537,-2.7804,-3.8752,-2.0101,-6.0,-7.0707,-5.0415,-0.06472,-0.85386,-1.8211
-3.9604,-4.1077,-9.0429,0.97561,4.7665,-5.2504,-4.0201,-0.06568,-0.067,0.97561,4.7665,-6.8293,-1.8325,-1.9048,-2.0101,-3.0,-5.0505,-6.0365,-0.06472,-0.85386,1.1057
0.9901,-1.0774,-4.0924,6.8293,6.6989,2.0035,-2.0101,4.8604,0.93802,6.8293,6.6989,-1.9512,1.0111,2.0361,1.005,2.0,-1.0101,7.8939,2.8479,3.087,5.0081
-3.9604,-7.138,-8.0528,2.9268,-1.0306,-3.1779,-6.0302,5.8456,-8.1072,2.9268,-1.0306,-5.8537,-4.6761,-3.8752,-4.0201,-4.0,-6.0606,1.9237,-4.9191,-3.8095,-2.7967
-3.9604,-4.1077,-6.0726,0.97561,0.90177,-3.1779,-2.0101,0.91954,-4.0871,0.97561,0.90177,-4.878,-0.88468,-0.91954,0.0,-1.0,-3.0303,2.9187,-2.9773,-1.8391,-0.84553
3.9604,4.9832,0.85809,10.732,9.5974,4.076,7.0352,9.7865,4.9581,10.732,9.5974,2.9268,7.6461,6.9622,7.0352,6.0,3.0303,7.8939,5.7605,7.0279,6.9593
0.0,1.9529,-3.1023,7.8049,9.5974,-0.06909,5.0251,3.8752,4.9581,7.8049,9.5974,0.0,3.8547,3.0213,4.0201,2.0,0.0,1.9237,3.8188,3.087,4.0325
1.9802,2.963,-1.1221,4.878,6.6989,2.0035,4.0201,3.8752,0.93802,4.878,6.6989,0.97561,5.7504,4.9918,7.0352,3.0,3.0303,-3.0514,0.90615,6.0427,5.9837
10.891,7.0034,4.8185,8.7805,4.7665,9.2573,11.055,12.742,5.9631,8.7805,4.7665,6.8293,9.5419,7.9475,12.06,7.0,9.0909,3.9138,2.8479,9.9836,7.935
10.891,10.034,7.7888,8.7805,9.5974,9.2573,14.07,3.8752,12.998,8.7805,9.5974,8.7805,9.5419,8.9327,10.05,8.0,10.101,7.8939,6.7314,8.9984,6.9593
1.9802,7.0034,3.8284,7.8049,11.53,4.076,9.0452,-0.06568,6.9682,7.8049,11.53,6.8293,4.8025,4.0066,4.0201,5.0,5.0505,4.9088,4.7896,4.0722,4.0325
14.851,19.125,14.719,18.537001,20.225,21.693001,20.101,3.8752,14.003,18.537001,20.225,19.511999,14.281,13.859,16.08,16.0,16.162001,12.869,18.382,14.91,13.789
12.871,17.104,11.749,16.584999,17.327,14.439,20.101,10.772,11.993,16.584999,17.327,15.61,10.49,11.888,12.06,14.0,13.131,11.874,14.498,9.9836,13.789
