C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-0.12638,-3.7179,-1.9512,-8.8235,-5.8824,-7.0894,-2.8986,-11.772,-4.9191,-8.8235,-5.8824,-5.8824,1.9048,-0.06349,3.9365,-2.9126,0.06441,-6.89,-0.8254,4.9261,0.83736
-1.0742,-3.7179,-1.9512,1.9608,5.8824,-8.065,-4.8309,-6.8943,1.877,1.9608,5.8824,-3.9216,5.7143,0.88889,6.7937,-2.9126,0.06441,-3.0622,-0.8254,8.867,-1.095
-2.97,-1.7949,-0.97561,4.902,10.784,-6.1138,-2.8986,-3.9675,6.7314,4.902,10.784,-1.9608,2.8571,-1.9683,3.9365,-4.8544,-1.868,-2.1053,0.12698,7.8818,-3.9936
-2.0221,4.9359,1.9512,6.8627,8.8235,-2.2114,4.8309,-1.0407,6.7314,6.8627,8.8235,1.9608,-2.8571,-4.8254,1.0794,-3.8835,-2.8341,-3.0622,-0.8254,4.9261,-3.0274
3.6651,7.8205,6.8293,5.8824,7.8431,4.6179,7.7295,2.8618,4.7896,5.8824,7.8431,5.8824,0.0,-3.873,2.0317,-1.9417,0.06441,0.76555,2.0317,3.9409,-2.0612
4.613,4.9359,5.8537,5.8824,1.9608,6.5691,4.8309,4.813,1.877,5.8824,1.9608,4.902,-1.9048,-4.8254,0.12698,-2.9126,-0.90177,0.76555,3.9365,0.0,-3.0274
1.7694,-0.83333,-0.97561,-0.98039,-4.902,6.5691,1.9324,4.813,-2.0065,-0.98039,-4.902,0.0,-5.7143,-5.7778,-1.7778,-4.8544,-3.8003,1.7225,0.12698,-1.9704,-3.0274
-1.0742,-6.6026,-8.7805,2.9412,4.902,1.6911,0.0,4.813,0.90615,2.9412,4.902,-1.9608,-2.8571,-3.873,-0.8254,-5.8252,-4.7665,2.6794,-0.8254,3.9409,-3.0274
-3.9179,-7.5641,-12.683,9.8039,14.706,-0.26016,0.0,10.667,6.7314,9.8039,14.706,0.0,-1.9048,-2.9206,1.0794,-4.8544,-3.8003,6.5072,-1.7778,6.8966,-3.9936
-4.8657,-3.7179,-7.8049,6.8627,8.8235,-0.26016,0.0,9.6911,5.7605,6.8627,8.8235,0.98039,-0.95238,-1.9683,2.0317,-0.97087,-1.868,8.4211,-1.7778,7.8818,-1.095
