C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-3.8547,0.94787,-3.0421,-2.963,-5.8615,-5.8333,-3.8915,-2.9346,0.0,-2.963,-5.8615,-5.9837,-5.8054,-6.6986,-4.7847,2.807,0.76923,-0.95694,-0.95238,-6.8277,-1.0207
0.88468,6.6351,0.84142,-0.06441,-2.963,-1.9872,-1.0207,0.89314,-8.6957,-0.06441,-2.963,-2.0813,1.8501,-1.9139,0.95694,6.6348,3.6538,0.95694,-8.5714,1.868,2.807
-0.06319,6.6351,-1.1003,-1.0306,-2.963,-1.9872,-2.9346,2.807,6.7633,-1.0306,-2.963,-3.0569,2.807,-0.95694,0.95694,4.7209,0.76923,-0.95694,1.9048,-1.0306,-1.9777
-5.7504,-10.427,-9.8382,-7.7939,-5.8615,-8.7179,-9.6332,-4.8485,3.8647,-7.7939,-5.8615,-9.8862,-1.9777,-6.6986,-5.7416,-8.6762,-8.8462,-2.8708,0.95238,-4.8953,-4.8485
-3.8547,-10.427,-6.9256,-7.7939,-7.7939,-8.7179,-4.8485,-5.8054,-5.7971,-7.7939,-7.7939,-6.9593,-0.0638,-5.7416,-2.8708,-12.504,-9.8077,-1.9139,-5.7143,-1.9968,-4.8485
1.8325,-5.6872,-0.12945,-4.8953,-4.8953,-4.8718,0.89314,-3.8915,-8.6957,-4.8953,-4.8953,-1.1057,5.6778,-0.95694,4.7847,-9.6332,-4.0385,1.9139,0.0,3.8003,-2.9346
-0.06319,-9.4787,-3.0421,-3.9291,-6.8277,-3.9103,-6.7624,-0.0638,-3.8647,-3.9291,-6.8277,-4.0325,4.7209,1.9139,3.8278,-7.7193,-4.0385,4.7847,0.0,3.8003,2.807
-1.0111,-6.6351,-4.9838,-1.0306,-7.7939,-2.9487,-11.547,4.7209,-6.7633,-1.0306,-7.7939,-5.9837,4.7209,4.7847,2.8708,-1.9777,-2.1154,4.7847,-2.8571,3.8003,3.764
3.7283,2.8436,-1.1003,1.868,-4.8953,0.89744,-5.8054,10.463,-17.391001,1.868,-4.8953,-3.0569,10.463,9.5694,8.6124,7.5917,4.6154,4.7847,-4.7619,5.7327,1.8501
1.8325,2.8436,-4.0129,-0.06441,-4.8953,-1.9872,-6.7624,11.419,-8.6957,-0.06441,-4.8953,-5.0081,10.463,9.5694,9.5694,8.5486,5.5769,2.8708,-3.8095,9.5974,3.764
-0.06319,-7.5829,-6.9256,-2.963,-8.7601,-2.9487,-10.59,7.5917,-11.594,-2.963,-8.7601,-6.9593,7.5917,5.7416,6.6986,2.807,2.6923,5.7416,1.9048,4.7665,2.807
0.88468,-6.6351,-4.0129,-0.06441,-6.8277,-1.0256,-3.8915,7.5917,-23.188,-0.06441,-6.8277,-4.0325,4.7209,3.8278,2.8708,-3.8915,0.76923,4.7847,-3.8095,-0.06441,-4.8485
2.7804,-3.7915,0.84142,1.868,-1.0306,1.859,2.807,8.5486,-4.8309,1.868,-1.0306,1.8211,1.8501,1.9139,0.95694,-4.8485,-0.19231,4.7847,-8.5714,-0.06441,-7.7193
3.7283,2.8436,5.6958,5.7327,1.868,5.7051,4.7209,11.419,2.8986,5.7327,1.868,6.6992,0.89314,1.9139,0.95694,-1.0207,2.6923,7.6555,-8.5714,-0.06441,-2.9346
1.8325,4.7393,3.754,4.7665,2.8341,4.7436,4.7209,9.5056,2.8986,4.7665,2.8341,5.7236,-1.9777,0.0,0.0,0.89314,1.7308,1.9139,-1.9048,-2.963,1.8501
-1.9589,1.8957,0.84142,3.8003,2.8341,2.8205,0.89314,7.5917,-0.96618,3.8003,2.8341,2.7967,-5.8054,-4.7847,-2.8708,-0.0638,-2.1154,0.0,-1.9048,-1.9968,-1.0207
0.88468,8.5308,4.7249,7.6651,7.6651,5.7051,4.7209,7.5917,-0.96618,7.6651,7.6651,4.748,-5.8054,-4.7847,-1.9139,5.6778,-0.19231,5.7416,0.95238,0.90177,-3.8915
-0.06319,1.8957,1.8123,4.7665,3.8003,2.8205,-1.9777,9.5056,-1.9324,4.7665,3.8003,-0.13008,-7.7193,-4.7847,-4.7847,3.764,-2.1154,5.7416,3.8095,-3.9291,-1.0207
-3.8547,-12.322,-4.0129,0.90177,-2.963,-1.0256,-11.547,8.5486,-11.594,0.90177,-2.963,-6.9593,-10.59,-3.8278,-9.5694,-3.8915,-6.9231,-1.9139,0.0,-9.7262,0.89314
-0.06319,-7.5829,-3.0421,6.6989,2.8341,2.8205,-4.8485,9.5056,-6.7633,6.6989,2.8341,-2.0813,-6.7624,0.0,-5.7416,-2.9346,-5.9615,0.95694,-5.7143,-3.9291,0.89314
-2.9068,-5.6872,-6.9256,4.7665,-0.06441,-0.0641,-4.8485,8.5486,-13.527,4.7665,-0.06441,-4.0325,-3.8915,-0.95694,-3.8278,-5.8054,-7.8846,3.8278,-12.381,-1.0306,0.89314
-5.7504,-8.5308,-8.8673,-0.06441,-3.9291,-3.9103,-6.7624,4.7209,-18.357,-0.06441,-3.9291,-6.9593,-0.0638,-1.9139,-0.95694,-6.7624,-6.9231,4.7847,-6.6667,1.868,-1.9777
-2.9068,-4.7393,-3.0421,0.90177,-0.06441,-1.9872,-2.9346,5.6778,-8.6957,0.90177,-0.06441,-4.0325,7.5917,1.9139,3.8278,-0.0638,-0.19231,6.6986,0.95238,3.8003,-1.0207
2.7804,10.427,5.6958,3.8003,6.6989,3.7821,4.7209,8.5486,-1.9324,3.8003,6.6989,1.8211,16.204,10.526,11.483,9.5056,9.4231,3.8278,0.95238,9.5974,3.764
3.7283,11.374,6.6667,0.90177,3.8003,3.7821,4.7209,5.6778,5.7971,0.90177,3.8003,2.7967,19.075001,14.354,12.44,13.333,13.269,2.8708,-0.95238,8.6312,8.5486
-1.0111,4.7393,3.754,-2.963,0.90177,-0.0641,2.807,-1.9777,17.391001,-2.963,0.90177,-0.13008,13.333,13.397,6.6986,13.333,11.346,0.95694,6.6667,-0.06441,9.5056
-0.06319,2.8436,3.754,-3.9291,0.90177,-1.9872,2.807,-1.0207,13.527,-3.9291,0.90177,-1.1057,7.5917,9.5694,3.8278,11.419,9.4231,2.8708,3.8095,-1.9968,4.7209
0.88468,3.7915,3.754,-5.8615,-2.963,-3.9103,1.8501,-2.9346,6.7633,-5.8615,-2.963,-1.1057,1.8501,2.8708,2.8708,8.5486,7.5,3.8278,5.7143,-1.9968,-1.0207
0.88468,7.5829,2.7832,-3.9291,0.90177,-1.9872,5.6778,-3.8915,18.357,-3.9291,0.90177,1.8211,-4.8485,-6.6986,-0.95694,4.7209,2.6923,4.7847,6.6667,-1.9968,-6.7624
-1.9589,1.8957,-0.12945,-0.06441,-0.06441,0.89744,4.7209,-2.9346,5.7971,-0.06441,-0.06441,2.7967,-10.59,-14.354,-5.7416,-4.8485,-5.0,2.8708,0.95238,-3.9291,-5.8054
-4.8025,-6.6351,-2.0712,-0.06441,-1.0306,0.89744,1.8501,-1.0207,10.628,-0.06441,-1.0306,1.8211,-12.504,-17.225,-8.6124,-8.6762,-9.8077,0.95694,3.8095,-5.8615,-4.8485
-5.7504,-4.7393,-3.0421,-2.963,-3.9291,-2.9487,-1.9777,-5.8054,3.8647,-2.963,-3.9291,-2.0813,-9.6332,-14.354,-7.6555,-6.7624,-9.8077,-1.9139,5.7143,-2.963,-5.8054
-8.594,-6.6351,-6.9256,-6.8277,-7.7939,-7.7564,-6.7624,-10.59,3.8647,-6.8277,-7.7939,-6.9593,-7.7193,-12.44,-6.6986,-7.7193,-9.8077,-6.6986,3.8095,-2.963,-4.8485
-8.594,-9.4787,-8.8673,-9.7262,-8.7601,-9.6795,-8.6762,-10.59,5.7971,-9.7262,-8.7601,-9.8862,-5.8054,-8.6124,-5.7416,-9.6332,-9.8077,-5.7416,0.0,-1.9968,-4.8485
-9.5419,-14.218,-9.8382,-7.7939,-6.8277,-9.6795,-9.6332,-8.6762,2.8986,-7.7939,-6.8277,-8.9106,-7.7193,-7.6555,-7.6555,-13.461,-9.8077,-3.8278,-1.9048,-7.7939,-4.8485
-5.7504,-10.427,-6.9256,-0.06441,-0.06441,-1.0256,-3.8915,-1.0207,4.8309,-0.06441,-0.06441,-2.0813,-7.7193,-5.7416,-6.6986,-10.59,-7.8846,1.9139,-5.7143,-4.8953,-4.8485
-5.7504,-4.7393,-5.9547,0.90177,3.8003,-0.0641,0.89314,0.89314,6.7633,0.90177,3.8003,-0.13008,-10.59,-6.6986,-8.6124,-10.59,-7.8846,2.8708,-4.7619,-3.9291,-4.8485
-5.7504,-1.8957,-4.0129,0.90177,3.8003,-1.0256,3.764,0.89314,0.0,0.90177,3.8003,1.8211,-10.59,-5.7416,-8.6124,-8.6762,-7.8846,-1.9139,-1.9048,-3.9291,-4.8485
0.88468,7.5829,4.7249,3.8003,3.8003,4.7436,7.5917,2.807,6.7633,3.8003,3.8003,7.6748,-1.0207,4.7847,0.0,3.764,1.7308,0.0,-0.95238,-1.9968,0.89314
2.7804,10.427,8.6084,3.8003,5.7327,3.7821,7.5917,0.89314,18.357,3.8003,5.7327,7.6748,7.5917,13.397,5.7416,12.376,9.4231,1.9139,6.6667,0.90177,6.6348
1.8325,5.6872,5.6958,-3.9291,-0.06441,-1.9872,2.807,-1.0207,17.391001,-3.9291,-0.06441,2.7967,10.463,14.354,6.6986,14.29,9.4231,2.8708,12.381,4.7665,7.5917
-0.06319,-0.94787,0.84142,-8.7601,-6.8277,-6.7949,-1.9777,-3.8915,0.96618,-8.7601,-6.8277,-3.0569,12.376,12.44,6.6986,7.5917,5.5769,2.8708,5.7143,4.7665,5.6778
-1.0111,-3.7915,-3.0421,-6.8277,-4.8953,-5.8333,-0.0638,-7.7193,0.0,-6.8277,-4.8953,-3.0569,8.5486,6.6986,4.7847,-2.9346,0.76923,-0.95694,1.9048,0.90177,-0.0638
-1.0111,5.6872,-2.0712,-2.963,-1.9968,-1.9872,1.8501,-2.9346,1.9324,-2.963,-1.9968,-0.13008,1.8501,0.95694,0.95694,-4.8485,-2.1154,0.95694,-5.7143,-0.06441,-2.9346
-4.8025,-1.8957,-4.9838,-5.8615,-3.9291,-2.9487,-3.8915,-1.9777,-1.9324,-5.8615,-3.9291,-2.0813,-5.8054,-5.7416,-6.6986,-8.6762,-6.9231,-1.9139,-0.95238,-3.9291,-1.9777
-4.8025,-3.7915,-3.0421,-6.8277,-2.963,-3.9103,1.8501,-5.8054,-9.6618,-6.8277,-2.963,-1.1057,-7.7193,-8.6124,-7.6555,-6.7624,-6.9231,-2.8708,7.619,-4.8953,0.89314
-1.9589,1.8957,-2.0712,-6.8277,-3.9291,-3.9103,1.8501,-1.0207,-0.96618,-6.8277,-3.9291,-1.1057,-4.8485,-3.8278,-4.7847,-1.9777,-5.0,2.8708,7.619,-1.0306,0.89314
-0.06319,6.6351,0.84142,-2.963,-0.06441,-2.9487,3.764,3.764,17.391001,-2.963,-0.06441,-0.13008,-0.0638,3.8278,0.0,5.6778,-0.19231,5.7416,5.7143,1.868,2.807
-4.8025,0.94787,-2.0712,-1.9968,0.90177,-5.8333,-2.9346,1.8501,5.7971,-1.9968,0.90177,-4.0325,-1.0207,5.7416,-2.8708,2.807,-2.1154,0.95694,0.95238,-1.0306,4.7209
-11.438,-9.4787,-9.8382,-8.7601,-4.8953,-12.564,-12.504,-5.8054,-6.7633,-8.7601,-4.8953,-11.837,-5.8054,2.8708,-6.6986,-4.8485,-7.8846,-3.8278,1.9048,-6.8277,4.7209
-10.49,-12.322,-9.8382,-9.7262,-6.8277,-13.526,-11.547,-7.7193,-12.56,-9.7262,-6.8277,-11.837,-5.8054,-0.95694,-6.6986,-8.6762,-8.8462,-3.8278,-2.8571,-6.8277,0.89314
-9.5419,-9.4787,-5.9547,-7.7939,-1.9968,-8.7179,-1.9777,-2.9346,-15.459,-7.7939,-1.9968,-5.9837,-7.7193,-2.8708,-6.6986,-10.59,-8.8462,-5.7416,-5.7143,-5.8615,0.89314
