C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
3.7283,1.3968,-3.9024,8.3092,4.6205,12.104,7.8049,10.242,3.8188,8.3092,4.6205,11.046,-5.0794,-3.2536,-4.381,-1.2945,-6.4412,7.6006,0.06319,-3.9216,-3.9936
4.9921,2.6667,1.9512,6.3768,5.9406,12.104,6.5041,11.53,3.1715,6.3768,5.9406,9.7386,-3.8095,-1.9777,0.69841,0.64725,-1.2882,9.533,0.6951,-3.268,-2.0612
10.047,-0.50794,3.252,2.5121,0.0,9.5146,0.0,8.9533,-0.71197,2.5121,0.0,4.5098,-5.0794,-3.8915,4.5079,-1.2945,0.0,3.7359,-3.7283,-3.9216,-3.9936
8.1517,-3.6825,3.252,3.1562,-1.9802,8.2201,-3.9024,8.9533,-3.9482,3.1562,-1.9802,2.549,-6.3492,-5.8054,5.1429,-3.2362,-0.64412,5.6683,-4.9921,-3.9216,-3.9936
10.047,-7.4921,1.9512,3.8003,0.0,6.9256,-5.8537,7.6651,-4.5955,3.8003,0.0,1.2418,-7.619,-7.7193,5.7778,-5.8252,-1.2882,6.3124,-6.2559,-4.5752,-4.6377
4.9921,-9.3968,0.65041,1.2238,-2.6403,1.7476,-7.8049,5.0886,-5.2427,1.2238,-2.6403,-2.6797,-9.5238,-10.271,2.6032,-9.0615,-3.8647,1.8035,-8.1517,-5.8824,-6.57
-1.9589,-2.4127,1.3008,-0.06441,-3.3003,0.45307,-4.5528,4.4444,-2.6537,-0.06441,-3.3003,-1.3725,-11.429,-12.823,-2.4762,-9.7087,-7.0853,1.8035,-6.8878,-7.8431,-7.2142
-3.8547,-1.7778,1.3008,0.57971,-1.9802,-0.19417,-0.65041,3.8003,0.58252,0.57971,-1.9802,0.58824,-12.063,-15.375,-5.0159,-14.239,-10.95,1.1594,-2.4645,-7.1895,-8.5024
-3.2227,-2.4127,-0.65041,4.4444,3.9604,1.1003,3.252,4.4444,5.1133,4.4444,3.9604,3.2026,-12.698,-19.202999,-7.5556,-18.122999,-13.527,-0.12882,0.06319,-5.2288,-10.435
-3.8547,0.12698,-4.5528,7.0209,11.221,0.45307,6.5041,3.1562,8.9968,7.0209,11.221,3.8562,-12.063,-20.478001,-7.5556,-19.417,-15.459,-5.2818,-0.56872,-0.65359,-11.079
-5.7504,0.12698,-5.8537,9.5974,13.861,0.45307,7.1545,3.8003,9.644,9.5974,13.861,4.5098,-13.333,-19.202999,-10.73,-18.77,-15.459,0.5153,0.06319,-1.9608,-11.079
-8.278,-3.0476,-4.5528,6.3768,7.2607,-1.4887,3.9024,1.2238,3.8188,6.3768,7.2607,1.2418,-12.063,-14.737,-11.365,-14.239,-11.594,4.38,-3.7283,-3.9216,-10.435
0.56872,0.12698,1.3008,-0.06441,-1.3201,-2.7832,1.3008,-1.9968,-2.0065,-0.06441,-1.3201,-2.0261,-2.5397,-1.9777,-0.57143,-0.64725,1.2882,0.5153,-1.8325,1.3072,-3.3494
1.8325,3.3016,4.5528,-3.285,-3.9604,-3.4304,-0.65041,-3.285,-3.9482,-3.285,-3.9604,-3.9869,7.619,12.057,8.3175,14.239,14.171,2.4477,0.06319,6.5359,5.6683
2.4645,5.8413,6.5041,-0.06441,-0.66007,0.45307,0.0,-3.285,-4.5955,-0.06441,-0.66007,-2.6797,12.698,19.712999,11.492,21.358999,20.612,2.4477,1.327,7.8431,11.465
5.624,6.4762,6.5041,2.5121,3.9604,1.7476,1.9512,-1.9968,-2.6537,2.5121,3.9604,-0.06536,13.333,20.989,12.127,21.358999,20.612,-1.4171,2.5908,6.5359,12.754
3.0964,2.0317,3.9024,4.4444,2.6403,1.7476,2.6016,0.57971,-0.06472,4.4444,2.6403,1.2418,10.794,15.247,8.3175,14.887,15.459,-1.4171,3.2227,3.268,11.465
-3.2227,-5.5873,-4.5528,0.57971,-2.6403,-2.1359,-1.3008,-1.3527,-1.3592,0.57971,-2.6403,-2.6797,3.1746,5.6778,-0.57143,3.2362,3.8647,-3.9936,-1.2006,-2.6144,5.0242
-8.278,-6.8571,-9.1057,-4.5733,-5.9406,-4.7249,-5.2033,-5.2174,-4.5955,-4.5733,-5.9406,-6.6013,-0.63492,-0.0638,-6.9206,-2.589,-3.2206,-8.5024,-3.7283,-5.2288,1.1594
-8.91,-4.3175,-6.5041,-1.3527,-1.9802,-2.1359,-5.8537,-3.285,-3.9482,-1.3527,-1.9802,-5.2941,0.0,-0.70175,-6.9206,-1.9417,-3.8647,-7.2142,-4.9921,-3.9216,1.8035
-3.2227,-1.1429,-1.9512,-0.06441,0.66007,-0.19417,-3.252,-1.9968,-3.301,-0.06441,0.66007,-2.0261,1.2698,-2.6156,-3.1111,-1.2945,-3.2206,-7.2142,-1.8325,-0.65359,1.1594
4.3602,0.7619,1.9512,1.868,0.0,4.3366,-0.65041,-0.06441,-0.71197,1.868,0.0,1.2418,3.8095,-5.8054,4.5079,-3.2362,-1.9324,-5.2818,1.327,5.8824,0.5153
4.9921,2.6667,1.3008,3.1562,1.3201,6.9256,-0.65041,-0.70853,-1.3592,3.1562,1.3201,3.2026,0.63492,-11.547,3.2381,-9.7087,-5.153,-1.4171,-1.8325,2.6144,-4.6377
-5.1185,-4.9524,-6.5041,1.2238,-1.3201,1.1003,-3.252,2.5121,-2.0065,1.2238,-1.3201,-0.71895,-2.5397,-16.650999,-1.2063,-16.827999,-10.95,2.4477,-2.4645,-1.9608,-9.1465
-7.6461,-8.7619,-11.707,-2.6409,-4.6205,-4.0777,-6.5041,1.2238,-2.0065,-2.6409,-4.6205,-4.6405,-1.2698,-16.650999,-0.57143,-19.417,-13.527,1.8035,-1.8325,0.0,-11.079
-3.8547,-10.032,-11.707,-3.285,-3.9604,-4.0777,-7.1545,-1.3527,-0.71197,-3.285,-3.9604,-5.2941,1.2698,-11.547,0.69841,-17.476,-12.238,0.5153,-3.7283,0.65359,-11.079
