C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
14.969,5.7778,9.8211,13.527,11.823,17.301001,13.659,5.7327,9.6911,13.527,11.823,19.704,5.7416,9.4155,1.9589,1.9324,0.06441,9.4872,7.7093,5.8824,3.7179
9.3082,5.7778,5.9187,15.459,7.8818,17.301001,13.659,9.5974,13.593,15.459,7.8818,19.704,-3.8278,-1.9589,-5.624,-3.8647,-9.5974,9.4872,7.7093,1.9608,-2.0513
11.195,7.6825,9.8211,19.323999,21.674999,19.252001,17.561001,9.5974,11.642,19.323999,21.674999,23.645,-11.483,-13.333,-5.624,-7.7295,-13.462,13.333,-1.7694,5.8824,-9.7436
18.742001,13.397,13.724,19.323999,19.704,21.202999,27.316999,17.327,19.447001,19.323999,19.704,27.586,-1.9139,-1.9589,3.8547,0.0,-7.6651,19.103001,15.292,9.8039,-2.0513
16.855,17.205999,15.675,21.256001,25.615999,21.202999,23.415001,15.395,21.398001,21.256001,25.615999,27.586,1.9139,3.7283,7.6461,3.8647,-1.868,19.103001,5.8136,13.725,3.7179
13.082,15.302,15.675,19.323999,19.704,21.202999,19.511999,13.462,19.447001,19.323999,19.704,25.615999,9.5694,9.4155,5.7504,5.7971,-1.868,15.256,13.397,13.725,5.641
13.082,7.6825,13.724,17.391001,11.823,21.202999,13.659,9.5974,11.642,17.391001,11.823,21.674999,-3.8278,-5.7504,3.8547,-1.9324,-5.7327,13.333,0.12638,15.686,-2.0513
13.082,7.6825,15.675,19.323999,17.733999,23.153999,15.61,15.395,21.398001,19.323999,17.733999,21.674999,-11.483,-17.125,5.7504,-3.8647,0.06441,13.333,2.0221,9.8039,-11.667
22.516001,13.397,25.431,28.986,29.556999,32.910999,23.415001,21.191999,17.496,28.986,29.556999,29.556999,0.0,-13.333,17.125,3.8647,11.659,15.256,11.501,13.725,-7.8205
16.855,7.6825,23.48,27.052999,19.704,25.106001,9.7561,13.462,21.398001,27.052999,19.704,25.615999,-9.5694,-19.021,13.333,1.9324,11.659,5.641,11.501,9.8039,-7.8205
18.742001,13.397,25.431,11.594,11.823,19.252001,11.707,5.7327,1.8862,11.594,11.823,21.674999,-9.5694,-9.5419,15.229,7.7295,19.388,7.5641,7.7093,13.725,-0.12821
13.082,9.5873,23.48,-1.9324,-1.9704,15.35,3.9024,-0.06441,-2.0163,-1.9324,-1.9704,13.793,0.0,-3.8547,15.229,11.594,23.253,1.7949,7.7093,11.765,3.7179
7.4214,3.873,11.772,1.9324,0.0,7.5447,0.0,-1.9968,15.545,1.9324,0.0,7.8818,3.8278,-5.7504,9.5419,5.7971,17.455999,-2.0513,5.8136,5.8824,-0.12821
3.6478,5.7778,11.772,3.8647,3.9409,9.4959,0.0,1.868,15.545,3.8647,3.9409,5.9113,7.6555,3.7283,13.333,9.6618,23.253,-2.0513,7.7093,7.8431,5.641
13.082,19.111,21.528,5.7971,5.9113,11.447,7.8049,1.868,19.447001,5.7971,5.9113,9.8522,17.225,20.790001,24.708,23.188,34.847,5.641,15.292,13.725,21.025999
5.5346,9.5873,11.772,-7.7295,-3.9409,-0.26016,1.9512,-1.9968,5.7886,-7.7295,-3.9409,0.0,17.225,18.893999,20.916,15.459,29.049999,3.7179,13.397,11.765,15.256
