C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-10.837,-14.137,-16.964001,-5.8252,-3.9482,-12.44,-12.0,-8.8455,-7.0667,-5.8252,-3.9482,-13.462,-10.314,-12.618,-13.0,-13.861,-16.066999,-8.9769,-11.659,-8.7154,-16.296
-9.8522,-12.127,-14.983,-4.8544,-2.0065,-8.3162,-7.0,-7.8699,-1.0667,-4.8544,-2.0065,-10.577,-11.258,-8.7154,-13.0,-9.901,-14.067,-3.0363,-9.7262,-9.6911,-12.432
-7.8818,-9.1122,-11.023,-2.9126,-1.0356,-4.1924,-5.0,-4.9431,-1.0667,-2.9126,-1.0356,-6.7308,-11.258,-6.7642,-13.0,-6.9307,-12.067,-6.0066,-1.9968,-7.7398,-6.6345
-9.8522,-10.117,-11.023,-3.8835,-2.0065,-5.2234,-7.0,-5.9187,-7.0667,-3.8835,-2.0065,-7.6923,-16.917999,-9.6911,-16.0,-7.9208,-12.067,-9.967,-16.49,-12.618,-7.6006
-8.867,-12.127,-9.0429,-4.8544,-3.9482,-7.2852,-8.0,-7.8699,-6.0667,-4.8544,-3.9482,-7.6923,-21.635,-16.52,-15.0,-11.881,-12.067,-4.0264,-15.523,-13.593,-11.465
-4.9261,-9.1122,-4.0924,-3.8835,-2.0065,-6.2543,-5.0,-7.8699,-4.0667,-3.8835,-2.0065,-3.8462,-18.805,-15.545,-11.0,-9.901,-9.0667,-5.0165,-5.8615,-9.6911,-9.533
-5.9113,-9.1122,-6.0726,-5.8252,-1.0356,-5.2234,-4.0,-6.8943,-2.0667,-5.8252,-1.0356,-3.8462,-15.975,-14.569,-11.0,-10.891,-10.067,-3.0363,-4.8953,-9.6911,-9.533
-7.8818,-12.127,-9.0429,-5.8252,-2.0065,-5.2234,-5.0,-6.8943,-3.0667,-5.8252,-2.0065,-4.8077,-15.031,-15.545,-14.0,-14.851,-14.067,-4.0264,-2.963,-11.642,-13.398
-7.8818,-15.142,-12.013,-3.8835,-2.9773,-5.2234,-6.0,-5.9187,-4.0667,-3.8835,-2.9773,-4.8077,-11.258,-15.545,-13.0,-17.822001,-16.066999,-5.0165,-8.7601,-9.6911,-16.296
-8.867,-18.157,-15.974,-4.8544,-4.9191,-6.2543,-9.0,-4.9431,-9.0667,-4.8544,-4.9191,-7.6923,-9.3711,-15.545,-13.0,-20.792,-18.066999,-9.967,-8.7601,-7.7398,-20.160999
-8.867,-18.157,-18.944,-6.7961,-6.8608,-7.2852,-9.0,-3.9675,-10.067,-6.7961,-6.8608,-8.6538,-5.5975,-11.642,-13.0,-18.812,-18.066999,-6.9967,-20.354,-5.7886,-20.160999
-7.8818,-14.137,-16.964001,-5.8252,-3.9482,-6.2543,-7.0,-1.0407,-7.0667,-5.8252,-3.9482,-7.6923,-1.8239,-3.8374,-9.0,-12.871,-15.067,-5.0165,-17.455999,-1.8862,-11.465
-2.9557,-11.122,-13.003,-3.8835,-3.9482,-3.1615,-7.0,-2.9919,-4.0667,-3.8835,-3.9482,-5.7692,-4.6541,-0.91057,-7.0,-8.9109,-11.067,0.92409,-3.9291,1.0407,-5.6683
0.98522,-11.122,-10.033,-3.8835,-3.9482,-1.0997,-7.0,-2.0163,-0.06667,-3.8835,-3.9482,-5.7692,-7.4843,-2.8618,-5.0,-8.9109,-9.0667,1.9142,-1.9968,0.06504,-5.6683
1.9704,-9.1122,-6.0726,0.97087,-1.0356,0.9622,-4.0,1.8862,-0.06667,0.97087,-1.0356,-1.9231,-2.7673,1.0407,-1.0,-6.9307,-6.0667,1.9142,-1.9968,3.9675,-1.8035
-0.98522,-8.1072,-7.0627,1.9417,-0.06472,-0.06873,-3.0,1.8862,-5.0667,1.9417,-0.06472,-1.9231,-2.7673,0.06504,-2.0,-6.9307,-6.0667,4.8845,-2.963,0.06504,-2.7697
-3.9409,-12.127,-10.033,-0.97087,-2.9773,-1.0997,-5.0,0.91057,-6.0667,-0.97087,-2.9773,-4.8077,-5.5975,-4.813,-6.0,-11.881,-10.067,4.8845,-14.557,-6.7642,-7.6006
-2.9557,-14.137,-11.023,-0.97087,-2.0065,-0.06873,-5.0,1.8862,-3.0667,-0.97087,-2.0065,-3.8462,-12.201,-13.593,-10.0,-16.832001,-15.067,-2.0462,-14.557,-7.7398,-13.398
-7.8818,-16.146999,-13.993,-2.9126,-2.9773,-3.1615,-6.0,-2.9919,-1.0667,-2.9126,-2.9773,-5.7692,-22.579,-25.301001,-18.0,-22.771999,-22.066999,-12.937,-9.7262,-14.569,-22.093
-13.793,-17.152,-17.954,-4.8544,-3.9482,-9.3471,-8.0,-6.8943,-4.0667,-4.8544,-3.9482,-9.6154,-25.409,-31.153999,-22.0,-25.743,-25.066999,-10.957,-6.8277,-16.52,-25.958
-14.778,-14.137,-16.964001,-3.8835,-2.0065,-11.409,-7.0,-8.8455,-3.0667,-3.8835,-2.0065,-8.6538,-19.747999,-26.275999,-19.0,-21.782,-21.066999,-10.957,-2.963,-15.545,-22.093
-10.837,-11.122,-13.003,-0.97087,-0.06472,-8.3162,-6.0,-6.8943,1.9333,-0.97087,-0.06472,-5.7692,-14.088,-18.472,-14.0,-13.861,-14.067,-10.957,-11.659,-11.642,-14.364
-5.9113,-8.1072,-9.0429,0.0,-0.06472,-3.1615,-5.0,-4.9431,-2.0667,0.0,-0.06472,-2.8846,-10.314,-9.6911,-10.0,-6.9307,-8.0667,-3.0363,-5.8615,-6.7642,-4.7021
-4.9261,-5.0921,-8.0528,-1.9417,-0.06472,-4.1924,-4.0,-6.8943,-3.0667,-1.9417,-0.06472,-3.8462,-4.6541,-0.91057,-6.0,0.0,-4.0667,-9.967,4.7665,-2.8618,4.9597
-3.9409,-1.072,-8.0528,-4.8544,-2.0065,-6.2543,-3.0,-7.8699,-3.0667,-4.8544,-2.0065,-4.8077,4.7799,9.8211,-1.0,4.9505,0.93333,-2.0462,4.7665,2.9919,11.723
