C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-8.239,-10.73,-3.2362,-19.417,-2.6016,-4.0385,-1.2882,-28.268999,9.5974,-19.417,-2.6016,0.65681,2.5397,1.2121,-5.6508,-10.256,-7.7295,-11.026,-3.1111,-1.3072,-2.6923
-0.06289,-6.2857,3.2362,-12.298,8.4553,-2.1154,10.95,-15.449,15.395,-12.298,8.4553,7.225,2.5397,-0.70175,0.06349,-8.3333,-3.2206,-9.1026,-3.1111,4.5752,-1.4103
7.4843,-4.381,7.1197,-3.8835,7.8049,-0.19231,14.815,-9.6795,5.7327,-3.8835,7.8049,8.5386,2.5397,-1.3397,5.1429,-5.7692,0.64412,-10.385,2.6032,1.3072,-2.6923
13.145,-1.8413,9.0615,5.178,3.252,7.5,10.95,0.57692,1.2238,5.178,3.252,9.1954,1.2698,-1.9777,7.0476,-1.9231,3.2206,-15.513,2.6032,-2.6144,-2.0513
13.774,3.873,9.7087,1.2945,-1.3008,9.4231,7.0853,8.9103,-2.6409,1.2945,-1.3008,7.8818,1.9048,-1.3397,8.9524,1.9231,5.7971,-1.4103,2.6032,0.0,-0.76923
4.3396,4.5079,2.589,-4.5307,-3.9024,-0.83333,-5.7971,3.141,0.57971,-4.5307,-3.9024,-3.2841,0.63492,-0.0638,5.1429,2.5641,3.8647,8.8462,5.1429,0.0,-1.4103
-4.4654,7.6825,-1.2945,1.9417,-5.2033,-7.2436,-12.238,0.57692,0.57971,1.9417,-5.2033,-11.166,0.63492,1.8501,1.3333,7.0513,3.2206,5.0,-2.4762,-0.65359,3.0769
-8.239,13.397,-1.2945,1.9417,-6.5041,-5.9615,-7.0853,-0.70513,-1.9968,1.9417,-6.5041,-10.509,-1.2698,3.764,-1.8413,12.179,3.2206,-14.872,-5.6508,-3.268,6.2821
-4.4654,14.667,0.0,-7.1197,-3.252,2.3718,1.2882,-3.9103,8.3092,-7.1197,-3.252,-3.2841,-2.5397,4.4019,-4.381,12.821,2.5765,-5.8974,-4.381,-5.8824,5.641
-4.4654,7.6825,0.0,-3.2362,-8.4553,4.2949,5.153,-0.70513,8.9533,-3.2362,-8.4553,0.65681,-3.8095,1.8501,-6.9206,7.0513,-1.9324,9.4872,4.5079,-5.8824,3.0769
-3.8365,-3.746,-5.178,1.2945,-6.5041,-2.7564,-3.2206,5.7051,-3.285,1.2945,-6.5041,-3.2841,-7.619,-3.8915,-8.8254,-1.9231,-7.7295,-3.9744,1.3333,-9.1503,-1.4103
1.195,-8.8254,-5.8252,-7.767,-3.9024,-3.3974,-12.238,4.4231,-4.5733,-7.767,-3.9024,-7.225,-3.8095,-2.6156,-3.1111,-5.1282,-5.7971,-2.0513,-1.2063,-1.9608,-5.2564
2.4528,-11.365,-6.4725,-11.003,-4.5528,-3.3974,-10.95,-3.9103,-5.2174,-11.003,-4.5528,-7.8818,0.0,-1.3397,0.06349,-6.4103,-3.2206,2.4359,-3.1111,-1.3072,-5.2564
4.9686,-10.73,-3.8835,-3.2362,-2.6016,0.44872,0.0,-0.0641,-9.7262,-3.2362,-2.6016,-3.9409,0.63492,-1.9777,4.5079,-7.6923,-0.64412,2.4359,-3.746,1.3072,-7.8205
7.4843,-2.4762,3.2362,3.2362,3.252,6.859,14.815,7.6282,-4.5733,3.2362,3.252,7.8818,4.4444,0.57416,8.9524,-3.2051,5.7971,1.7949,-5.6508,7.8431,-5.2564
1.8239,3.2381,8.4142,3.2362,7.1545,8.7821,16.103001,6.3462,11.53,3.2362,7.1545,15.107,4.4444,0.57416,7.0476,-0.64103,5.7971,3.0769,-1.8413,5.2288,-2.6923
-0.06289,1.3333,7.767,6.4725,7.8049,8.141,14.171,0.57692,5.0886,6.4725,7.8049,15.764,1.2698,-1.9777,1.3333,-3.8462,0.64412,10.128,-3.1111,4.5752,-2.0513
1.195,0.69841,4.5307,6.4725,11.057,4.9359,5.7971,-3.2692,3.8003,6.4725,11.057,7.8818,-1.2698,-5.1675,-1.8413,-5.1282,-4.5089,3.0769,-4.381,1.3072,-2.6923
8.1132,9.5873,8.4142,-0.64725,8.4553,5.5769,4.5089,-3.9103,13.462,-0.64725,8.4553,8.5386,0.0,-2.6156,0.69841,3.8462,-1.2882,-13.59,-3.746,0.0,6.9231
8.7421,12.127,9.0615,5.8252,3.9024,3.0128,3.8647,-5.8333,12.818,5.8252,3.9024,5.9113,2.5397,1.2121,3.2381,8.9744,2.5765,-0.12821,5.7778,1.9608,7.5641
9.3711,13.397,9.0615,5.8252,4.5528,3.0128,3.8647,5.7051,10.242,5.8252,4.5528,4.5977,0.63492,5.6778,3.873,12.821,5.7971,5.641,17.205999,-4.5752,6.9231
8.7421,15.937,10.356,8.4142,7.8049,6.859,8.3736,7.6282,3.8003,8.4142,7.8049,6.5681,0.0,8.8676,3.873,16.025999,9.0177,4.359,10.222,-9.8039,10.128
1.8239,13.397,5.8252,18.77,16.910999,5.5769,6.4412,-0.0641,7.0209,18.77,16.910999,4.5977,-0.63492,8.8676,0.69841,14.744,7.7295,-0.12821,3.2381,-13.725,12.692
3.7107,8.9524,4.5307,21.358999,11.057,6.859,5.7971,5.7051,12.818,21.358999,11.057,4.5977,3.8095,11.419,3.873,12.179,8.3736,-9.1026,8.3175,-8.4967,12.692
-0.69182,-1.8413,-1.2945,3.2362,-7.8049,1.7308,0.64412,13.397,-5.8615,3.2362,-7.8049,-1.9704,3.1746,6.3158,4.5079,3.8462,4.5089,-2.0513,9.5873,-3.268,4.359
-7.6101,-9.4603,-7.767,-9.7087,-3.252,-4.6795,-3.8647,9.5513,-14.879,-9.7087,-3.252,-5.9113,1.2698,1.8501,1.3333,-4.4872,-2.5765,5.641,-1.8413,1.3072,-0.76923
-10.126,-15.175,-11.003,0.64725,8.4553,-6.6026,-11.594,3.141,-1.3527,0.64725,8.4553,-6.5681,1.9048,-2.6156,-1.2063,-12.179,-7.7295,8.2051,-6.9206,5.8824,-5.8974
-1.9497,-17.714001,-8.4142,23.948,11.707,-2.7564,-10.306,3.141,6.3768,23.948,11.707,-3.9409,2.5397,-7.7193,1.9683,-16.667,-8.3736,-0.76923,-15.175,13.072,-8.4615
6.8553,-12.635,-0.64725,22.006001,11.707,2.3718,-1.9324,-1.3462,6.3768,22.006001,11.707,0.65681,5.0794,-10.909,6.4127,-13.462,-5.153,17.179001,-15.175,17.646999,-9.1026
13.774,-5.6508,6.4725,10.356,10.407,4.9359,4.5089,4.4231,5.0886,10.356,10.407,5.2545,5.7143,-9.6332,9.5873,-7.6923,0.0,22.308001,-6.2857,17.646999,-8.4615
18.176001,3.2381,11.003,0.64725,8.4553,4.2949,3.8647,3.7821,-9.0821,0.64725,8.4553,3.9409,3.1746,-5.8054,10.857,2.5641,5.7971,1.1538,5.1429,9.8039,-5.8974
21.950001,15.302,18.122999,3.2362,0.0,8.141,19.323999,0.57692,-11.659,3.2362,0.0,8.5386,8.254,3.126,14.667,16.025999,14.815,8.8462,6.4127,9.8039,2.4359
