C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-11.438,-9.4603,-18.472,-15.61,-11.823,-14.829,-15.459,-15.599,-9.8211,-15.61,-11.823,-19.704,16.190001,25.650999,-2.7937,0.96154,-0.90177,-11.723,-3.6651,9.8522,18.141001
-11.438,-8.5079,-14.569,-11.707,-8.867,-20.683001,-14.493,-8.8026,-9.8211,-11.707,-8.867,-18.719,20.0,27.556,0.06349,2.8846,2.963,-14.622,-11.248,14.778,19.103001
-3.8547,-4.6984,-8.7154,-9.7561,-2.9557,-9.9512,-10.628,-13.657,-6.8943,-9.7561,-2.9557,-12.808,22.857,30.413,4.8254,6.7308,6.8277,-10.757,-1.7694,10.837,20.063999
-1.0111,0.06349,-4.813,-9.7561,-1.9704,-2.1463,-6.7633,-19.482,-2.9919,-9.7561,-1.9704,-8.867,24.761999,33.27,8.6349,11.538,11.659,-9.7907,1.0742,8.867,25.833
-8.594,-1.8413,-5.7886,-13.659,-6.8966,-11.902,-4.8309,-13.657,-4.9431,-13.659,-6.8966,-10.837,20.952,28.507999,4.8254,7.6923,9.7262,-18.486,-2.7172,9.8522,20.063999
-4.8025,2.9206,-2.8618,-5.8537,-5.9113,-5.0732,-2.8986,-18.511,-3.9675,-5.8537,-5.9113,-5.9113,17.143,22.794001,4.8254,7.6923,9.7262,-16.554001,3.9179,7.8818,13.333
-1.9589,3.873,2.9919,-0.97561,0.98522,-8.0,1.9324,-8.8026,-2.0163,-0.97561,0.98522,-1.9704,16.190001,18.983999,8.6349,9.6154,12.625,-7.8583,-6.5087,8.867,9.4872
5.624,4.8254,9.8211,-1.9512,6.8966,0.78049,7.7295,-2.0065,0.91057,-1.9512,6.8966,4.9261,15.238,13.27,12.444,11.538,15.523,-6.8921,-3.6651,5.9113,6.6026
16.997999,13.397,20.552999,5.8537,16.749001,15.415,19.323999,-0.06472,6.7642,5.8537,16.749001,16.749001,17.143,11.365,20.063,17.308001,22.287001,0.83736,-0.82148,9.8522,7.5641
20.790001,14.349,24.455,11.707,10.837,22.243999,20.290001,-3.9482,7.7398,11.707,10.837,20.690001,13.333,3.746,20.063,14.423,20.354,4.7021,2.97,7.8818,0.83333
14.155,14.349,20.552999,12.683,10.837,14.439,17.391001,4.7896,7.7398,12.683,10.837,17.733999,4.7619,-6.7302,14.349,8.6538,13.591,-1.095,4.8657,1.9704,-9.7436
10.363,14.349,19.577,11.707,16.749001,7.6098,14.493,14.498,11.642,11.707,16.749001,15.764,-0.95238,-13.397,10.54,6.7308,9.7262,1.8035,6.7615,-5.9113,-11.667
8.4676,11.492,16.65,7.8049,9.8522,6.6341,12.56,7.7023,10.667,7.8049,9.8522,13.793,-9.5238,-22.921,3.873,2.8846,3.9291,-3.0274,2.97,-12.808,-14.551
14.155,15.302,20.552999,11.707,8.867,16.389999,18.357,5.7605,10.667,11.707,8.867,17.733999,-11.429,-23.872999,5.7778,4.8077,2.963,2.7697,5.8136,-7.8818,-11.667
15.103,16.254,21.528,12.683,8.867,22.243999,16.424999,2.8479,9.6911,12.683,8.867,17.733999,-12.381,-21.016001,5.7778,7.6923,1.9968,-0.12882,1.0742,-7.8818,-3.9744
11.311,9.5873,14.699,2.9268,7.8818,9.561,6.7633,6.7314,6.7642,2.9268,7.8818,10.837,-17.143,-23.872999,0.06349,0.96154,-5.7327,-0.12882,6.7615,-12.808,-7.8205
9.4155,9.5873,12.748,3.9024,4.9261,4.6829,10.628,9.644,8.7154,3.9024,4.9261,8.867,-16.190001,-15.302,-0.88889,2.8846,-6.6989,5.6683,16.24,-12.808,-2.0513
3.7283,7.6825,9.8211,0.0,0.98522,3.7073,9.6618,-1.0356,4.813,0.0,0.98522,5.9113,-15.238,-5.7778,-3.746,5.7692,-5.7327,1.8035,11.501,-8.867,7.5641
1.8325,5.7778,5.9187,-4.878,-4.9261,3.7073,2.8986,-7.8317,-1.0407,-4.878,-4.9261,1.9704,-11.429,0.88889,-3.746,5.7692,-5.7327,-3.0274,7.7093,-5.9113,10.449
-2.9068,1.0159,0.06504,-7.8049,-5.9113,-4.0976,-6.7633,-4.9191,-5.9187,-7.8049,-5.9113,-3.9409,-8.5714,6.6032,-5.6508,3.8462,-5.7327,-4.9597,-5.5608,-4.9261,11.41
-6.6983,-4.6984,-1.8862,-11.707,-9.8522,-13.854,-6.7633,-2.9773,-7.8699,-11.707,-9.8522,-9.8522,-2.8571,12.317,-3.746,2.8846,-3.8003,-4.9597,-8.4044,0.98522,12.372
-1.9589,-3.746,0.06504,-9.7561,-12.808,-10.927,0.0,-4.9191,-5.9187,-9.7561,-12.808,-8.867,4.7619,17.079,1.0159,5.7692,1.9968,-1.095,-5.5608,5.9113,16.218
-5.7504,-4.6984,-2.8618,-12.683,-8.867,-10.927,-8.6957,-10.744,-5.9187,-12.683,-8.867,-10.837,7.619,19.937,1.0159,3.8462,3.9291,-3.9936,4.8657,4.9261,11.41
-2.9068,-5.6508,-2.8618,-10.732,-4.9261,-8.0,-6.7633,-8.8026,-2.9919,-10.732,-4.9261,-8.867,9.5238,18.032,1.9683,1.9231,4.8953,-3.9936,2.97,5.9113,5.641
0.88468,-2.7937,1.0407,-3.9024,-0.98522,0.78049,-0.96618,-10.744,-0.06504,-3.9024,-0.98522,-2.9557,13.333,20.889,5.7778,4.8077,8.7601,-3.9936,-1.7694,7.8818,7.5641
0.88468,0.06349,3.9675,-3.9024,0.98522,-4.0976,0.0,-0.06472,2.8618,-3.9024,0.98522,-2.9557,13.333,18.032,6.7302,7.6923,12.625,-4.9597,-13.144,7.8818,6.6026
-1.0111,5.7778,5.9187,-0.97561,2.9557,-8.0,3.8647,5.7605,5.7886,-0.97561,2.9557,-0.98522,9.5238,14.222,6.7302,9.6154,13.591,-3.9936,0.12638,2.9557,6.6026
-1.9589,1.9683,2.9919,-5.8537,-0.98522,-6.0488,0.0,-0.06472,1.8862,-5.8537,-0.98522,-3.9409,2.8571,5.6508,3.873,4.8077,8.7601,-1.095,7.7093,-3.9409,-2.0513
-3.8547,1.0159,1.0407,-6.8293,-3.9409,-6.0488,0.96618,-0.06472,0.91057,-6.8293,-3.9409,-4.9261,-0.95238,-3.873,1.0159,0.96154,4.8953,2.7697,10.553,-5.9113,-7.8205
-1.9589,1.9683,2.0163,-3.9024,-1.9704,-0.19512,0.96618,-7.8317,4.813,-3.9024,-1.9704,-1.9704,-4.7619,-9.5873,0.06349,0.96154,3.9291,1.8035,12.449,-7.8818,-7.8205
-3.8547,2.9206,2.0163,-2.9268,-2.9557,-7.0244,-1.9324,5.7605,5.7886,-2.9268,-2.9557,-3.9409,-8.5714,-19.111,-2.7937,-0.96154,0.06441,1.8035,6.7615,-12.808,-12.628
-3.8547,5.7778,3.9675,0.97561,-2.9557,-6.0488,2.8986,13.528,6.7642,0.97561,-2.9557,-0.98522,-8.5714,-20.063,-1.8413,0.96154,0.06441,-0.12882,-0.82148,-16.749001,-8.7821
1.8325,6.7302,5.9187,0.97561,1.9704,0.78049,1.9324,4.7896,4.813,0.97561,1.9704,2.9557,-5.7143,-19.111,-0.88889,0.0,0.06441,-3.0274,5.8136,-10.837,-10.705
1.8325,4.8254,2.9919,-0.97561,0.0,2.7317,-0.96618,2.8479,3.8374,-0.97561,0.0,1.9704,-2.8571,-16.254,-0.88889,-0.96154,-1.868,-0.12882,1.0742,-4.9261,-9.7436
4.6761,4.8254,3.9675,0.0,-3.9409,11.512,9.6618,3.8188,3.8374,0.0,-3.9409,5.9113,1.9048,-5.7778,1.0159,1.9231,1.0306,3.7359,-0.82148,1.9704,-1.0897
0.88468,2.9206,2.0163,-0.97561,-6.8966,1.7561,5.7971,11.586,-0.06504,-0.97561,-6.8966,1.9704,4.7619,4.6984,-0.88889,1.9231,0.06441,3.7359,5.8136,1.9704,6.6026
-1.0111,-1.8413,-4.813,-4.878,-8.867,-1.1707,0.0,0.90615,-5.9187,-4.878,-8.867,-2.9557,0.0,11.365,-5.6508,-0.96154,-4.7665,-3.0274,1.0742,-3.9409,10.449
-7.6461,-4.6984,-12.618,-9.7561,-7.8818,-8.0,-6.7633,-2.9773,-8.8455,-9.7561,-7.8818,-7.8818,-3.8095,16.127001,-10.413,-2.8846,-8.6312,-7.8583,-3.6651,-2.9557,14.295
-12.385,-10.413,-17.496,-7.8049,-9.8522,-10.927,-14.493,0.90615,-11.772,-7.8049,-9.8522,-12.808,-6.6667,14.222,-13.27,-8.6538,-12.496,-3.0274,0.12638,-1.9704,7.5641
-6.6983,-14.222,-17.496,-3.9024,-9.8522,-0.19512,-14.493,-3.9482,-11.772,-3.9024,-9.8522,-10.837,-7.619,7.5556,-12.317,-12.5,-13.462,2.7697,-13.144,0.0,-2.0513
-1.0111,-11.365,-12.618,-1.9512,-7.8818,0.78049,-11.594,2.8479,-7.8699,-1.9512,-7.8818,-6.8966,-3.8095,6.6032,-6.6032,-9.6154,-9.5974,3.7359,-13.144,1.9704,-1.0897
-0.06319,-8.5079,-9.6911,-0.97561,-6.8966,-4.0976,-9.6618,9.644,-6.8943,-0.97561,-6.8966,-5.9113,1.9048,11.365,-1.8413,-4.8077,-4.7665,6.6345,-6.5087,5.9113,5.641
-3.8547,-8.5079,-8.7154,0.0,-4.9261,-2.1463,-8.6957,6.7314,-4.9431,0.0,-4.9261,-4.9261,0.95238,9.4603,-2.7937,-4.8077,-3.8003,3.7359,-4.613,5.9113,2.7564
-1.0111,-9.4603,-6.7642,0.0,-4.9261,2.7317,-1.9324,-3.9482,-4.9431,0.0,-4.9261,-2.9557,0.95238,5.6508,-3.746,-5.7692,-5.7327,4.7021,1.0742,7.8818,-1.0897
-5.7504,-8.5079,-8.7154,-0.97561,-1.9704,1.7561,-5.7971,-4.9191,-2.9919,-0.97561,-1.9704,-4.9261,-0.95238,1.8413,-6.6032,-6.7308,-6.6989,1.8035,0.12638,0.98522,-2.0513
-10.49,-7.5556,-13.593,-5.8537,-2.9557,-8.9756,-7.7295,3.8188,-2.9919,-5.8537,-2.9557,-8.867,-2.8571,-1.0159,-9.4603,-8.6538,-8.6312,-1.095,-9.3523,-5.9113,-3.0128
-6.6983,-2.7937,-9.6911,-6.8293,-4.9261,-7.0244,-3.8647,4.7896,-0.06504,-6.8293,-4.9261,-6.8966,-0.95238,-1.9683,-7.5556,-4.8077,-5.7327,2.7697,-10.3,0.0,-0.12821
-7.6461,-0.88889,-7.7398,-0.97561,1.9704,-2.1463,-1.9324,-2.0065,-0.06504,-0.97561,1.9704,-5.9113,-4.7619,-5.7778,-8.5079,-4.8077,-5.7327,-1.095,9.6051,-2.9557,-3.9744
-9.5419,-2.7937,-9.6911,1.9512,2.9557,-1.1707,-3.8647,-10.744,4.813,1.9512,2.9557,-5.9113,-8.5714,-7.6825,-10.413,-5.7692,-7.6651,-8.8245,12.449,-7.8818,-8.7821
-11.438,-2.7937,-11.642,0.97561,3.9409,-8.9756,-1.9324,-3.9482,6.7642,0.97561,3.9409,-5.9113,-9.5238,-8.6349,-11.365,-5.7692,-8.6312,-8.8245,4.8657,-11.823,-5.8974
-6.6983,0.06349,-8.7154,1.9512,5.9113,-4.0976,-0.96618,-4.9191,7.7398,1.9512,5.9113,-2.9557,-9.5238,-7.6825,-10.413,-2.8846,-7.6651,-6.8921,5.8136,-9.8522,-3.9744
-5.7504,0.06349,-5.7886,0.97561,3.9409,-1.1707,4.8309,-2.9773,5.7886,0.97561,3.9409,-1.9704,-6.6667,-8.6349,-7.5556,-2.8846,-6.6989,-2.0612,1.0742,-3.9409,-3.9744
