C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
13.207,0.06349,13.592,-1.9608,-9.8522,9.4686,0.97087,8.6731,-16.65,-1.9608,-9.8522,-2.9412,4.7847,3.746,1.9683,2.8846,12.625,4.6795,-20.889,3.9216,-1.095
15.103,4.8254,17.476,0.98039,-4.9261,7.5362,2.9126,5.7605,-13.724,0.98039,-4.9261,-1.9608,9.5694,10.413,5.7778,5.7692,15.523,-3.0128,-13.27,0.98039,7.6006
17.945999,7.6825,20.388,0.0,0.0,9.4686,5.8252,2.8479,-9.8211,0.0,0.0,0.0,17.225,18.032,14.349,12.5,19.388,-6.859,-12.317,4.902,13.398
20.790001,8.6349,24.271999,0.0,0.0,12.367,6.7961,3.8188,-9.8211,0.0,0.0,1.9608,22.01,23.746,23.872999,18.268999,23.253,-2.0513,-11.365,10.784,19.195
19.841999,8.6349,26.214001,-0.98039,1.9704,8.5024,6.7961,0.90615,-10.797,-0.98039,1.9704,1.9608,23.923,23.746,26.73,22.115,25.184999,-0.12821,-7.5556,12.745,22.093
19.841999,10.54,28.155001,-0.98039,-4.9261,11.401,4.8544,3.8188,-10.797,-0.98039,-4.9261,2.9412,23.923,20.889,26.73,23.077,26.150999,-1.0897,-6.6032,14.706,21.127001
18.893999,10.54,27.184,-6.8627,-3.9409,10.435,5.8252,2.8479,-7.8699,-6.8627,-3.9409,3.9216,22.966999,15.175,27.683001,19.231001,24.219,2.7564,-9.4603,20.587999,15.33
14.155,8.6349,18.447001,-5.8824,-3.9409,3.6715,3.8835,-0.06472,-10.797,-5.8824,-3.9409,0.98039,18.181999,5.6508,22.921,12.5,16.49,6.6026,-8.5079,22.549,5.6683
8.4676,5.7778,8.7379,-7.8431,-9.8522,-1.1594,-2.9126,-1.0356,-12.748,-7.8431,-9.8522,-5.8824,12.44,-3.873,18.159,3.8462,5.8615,12.372,-10.413,22.549,-4.9597
6.5719,2.9206,2.9126,-13.725,-12.808,-2.1256,-5.8252,4.7896,-15.675,-13.725,-12.808,-9.8039,7.6555,-10.54,19.111,-1.9231,1.0306,14.295,-14.222,20.587999,-13.655
8.4676,1.0159,0.97087,-14.706,-13.793,-1.1594,-8.7379,6.7314,-18.601999,-14.706,-13.793,-8.8235,6.6986,-13.397,21.968,-1.9231,-0.90177,18.141001,-14.222,18.627001,-19.452
6.5719,-3.746,-0.97087,-12.745,-13.793,-0.19324,-8.7379,6.7314,-16.65,-12.745,-13.793,-6.8627,8.6124,-12.444,24.825001,-0.96154,0.06441,21.025999,-14.222,17.646999,-20.419001
5.624,-7.5556,0.0,-8.8235,-16.749001,-0.19324,-7.767,6.7314,-14.699,-8.8235,-16.749001,-2.9412,9.5694,-9.5873,28.635,-0.96154,3.9291,19.103001,-19.937,15.686,-17.52
9.4155,-9.4603,1.9417,-4.902,-6.8966,6.57,-3.8835,11.586,-8.8455,-4.902,-6.8966,3.9216,9.5694,-3.873,28.635,0.0,7.7939,16.218,-21.841,14.706,-11.723
