C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-20.916,-15.175,-21.398001,7.8049,3.9409,-8.0,-4.8309,2.8479,-3.9675,7.8049,3.9409,-9.8522,-7.619,-6.7302,-28.507999,-25.962,-28.921,0.83736,-11.248,-13.793,-10.705
-19.021,-15.175,-20.423,6.8293,5.9113,-6.0488,-3.8647,10.615,-4.9431,6.8293,5.9113,-8.867,-13.333,-15.302,-30.413,-26.923,-30.853001,-3.0274,-12.196,-15.764,-18.396999
-21.864,-13.27,-22.374001,5.8537,0.0,-10.927,-9.6618,9.644,-8.8455,5.8537,0.0,-12.808,-20.0,-20.063,-32.317001,-27.885,-34.717999,-2.0612,-12.196,-17.733999,-24.167
-18.073,-11.365,-19.447001,7.8049,4.9261,-8.9756,-6.7633,10.615,-3.9675,7.8049,4.9261,-9.8522,-20.0,-20.063,-29.459999,-24.038,-32.785999,10.499,-9.3523,-12.808,-20.320999
-15.229,-14.222,-18.472,2.9268,-4.9261,-8.0,-14.493,2.8479,-4.9431,2.9268,-4.9261,-11.823,-20.952,-19.111,-27.556,-24.038,-31.82,8.5668,-2.7172,-12.808,-16.474001
-14.281,-14.222,-16.52,-1.9512,-12.808,-7.0244,-14.493,1.877,-6.8943,-1.9512,-12.808,-14.778,-17.143,-15.302,-24.698,-20.191999,-28.921,3.7359,-6.5087,-8.867,-11.667
-12.385,-14.222,-16.52,-9.7561,-7.8818,-7.0244,-17.391001,2.8479,-10.797,-9.7561,-7.8818,-16.749001,-13.333,-11.492,-20.889,-15.385,-24.09,5.6683,-4.613,-3.9409,-7.8205
-17.125,-15.175,-18.472,-10.732,-9.8522,-14.829,-21.256001,-0.06472,-15.675,-10.732,-9.8522,-20.690001,-10.476,-9.5873,-19.937,-13.462,-22.158001,3.7359,-13.144,-0.98522,-2.0513
-17.125,-12.317,-16.52,-4.878,-7.8818,-10.927,-17.391001,-3.9482,-15.675,-4.878,-7.8818,-17.733999,-6.6667,-5.7778,-17.079,-11.538,-18.292999,2.7697,-15.987,3.9409,-3.0128
-12.385,-12.317,-11.642,-2.9268,-5.9113,-9.9512,-15.459,-2.9773,-14.699,-2.9268,-5.9113,-12.808,-0.95238,-1.0159,-11.365,-8.6538,-12.496,-4.9597,-4.613,5.9113,-2.0513
