C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-7.6461,-8.5486,-8.7154,-17.646999,-20.690001,-9.9512,-12.56,-5.8615,-13.591,-17.646999,-20.690001,-8.8235,-1.9048,-0.0638,-8.5079,-7.7295,-8.6312,0.83736,-4.6349,-3.9409,-2.0612
-6.6983,-8.5486,-8.7154,-18.627001,-20.690001,-9.9512,-15.459,-6.8277,-15.523,-18.627001,-20.690001,-8.8235,-0.95238,1.8501,-7.5556,-5.7971,-7.6651,-3.0274,1.0794,-2.9557,0.83736
-5.7504,-8.5486,-9.6911,-16.667,-18.719,-7.0244,-15.459,-4.8953,-11.659,-16.667,-18.719,-6.8627,-3.8095,-0.0638,-8.5079,-4.8309,-7.6651,-3.0274,-2.7302,-2.9557,-2.0612
-4.8025,-11.419,-9.6911,-12.745,-12.808,-4.0976,-11.594,-1.9968,-4.8953,-12.745,-12.808,-3.9216,-7.619,-1.9777,-10.413,-7.7295,-9.5974,-3.9936,2.9841,-4.9261,-3.0274
-3.8547,-9.5056,-6.7642,-10.784,-8.867,-0.19512,-13.527,-1.9968,-1.9968,-10.784,-8.867,-1.9608,-7.619,-0.0638,-8.5079,-6.7633,-7.6651,-3.9936,-6.5397,-5.9113,-3.0274
-1.9589,-6.6348,-3.8374,-6.8627,-7.8818,2.7317,-7.7295,-1.9968,-4.8953,-6.8627,-7.8818,0.0,-5.7143,0.89314,-5.6508,-5.7971,-4.7665,-0.12882,-4.6349,-3.9409,-3.9936
-1.0111,-4.7209,-0.91057,-5.8824,-7.8818,1.7561,-3.8647,0.90177,-3.9291,-5.8824,-7.8818,0.98039,-4.7619,0.89314,-0.88889,-3.8647,-0.90177,5.6683,-3.6825,-0.98522,-4.9597
3.7283,1.0207,3.9675,-3.9216,-8.867,1.7561,-0.96618,3.8003,-3.9291,-3.9216,-8.867,2.9412,-1.9048,3.764,4.8254,3.8647,3.9291,6.6345,-9.3968,0.98522,-0.12882
-0.06319,0.0638,1.0407,-6.8627,-11.823,-0.19512,-1.9324,0.90177,-8.7601,-6.8627,-11.823,-1.9608,-5.7143,-1.0207,1.0159,1.9324,1.0306,2.7697,-9.3968,-1.9704,-2.0612
-2.9068,-2.807,-3.8374,-10.784,-9.8522,-3.122,-1.9324,-2.963,-4.8953,-10.784,-9.8522,-4.902,-7.619,-3.8915,-0.88889,0.0,-2.8341,-8.8245,0.12698,-1.9704,-2.0612
-5.7504,-2.807,-7.7398,-11.765,-8.867,-6.0488,-5.7971,-5.8615,-3.9291,-11.765,-8.867,-8.8235,-8.5714,-7.7193,-0.88889,0.96618,-3.8003,-6.8921,6.7937,-1.9704,-3.0274
-3.8547,1.0207,-3.8374,-10.784,-7.8818,-4.0976,-6.7633,-4.8953,-1.0306,-10.784,-7.8818,-7.8431,-4.7619,-5.8054,1.9683,3.8647,-0.90177,-1.095,2.0317,0.0,-1.095
-2.9068,1.9777,-1.8862,-10.784,-9.8522,-5.0732,-6.7633,-4.8953,-1.0306,-10.784,-9.8522,-7.8431,-1.9048,-2.9346,2.9206,4.8309,1.0306,-3.0274,-0.8254,1.9704,0.83736
-3.8547,0.0638,-2.8618,-12.745,-10.837,-8.0,-6.7633,-6.8277,-0.06441,-12.745,-10.837,-10.784,0.95238,-0.0638,2.9206,3.8647,1.9968,-3.9936,3.9365,1.9704,2.7697
-4.8025,-1.8501,-4.813,-14.706,-11.823,-8.0,-6.7633,-7.7939,0.90177,-14.706,-11.823,-10.784,2.8571,-0.0638,1.0159,2.8986,1.9968,-4.9597,2.0317,0.98522,3.7359
-8.594,-0.89314,-7.7398,-16.667,-12.808,-12.878,-4.8309,-9.7262,-1.9968,-16.667,-12.808,-12.745,0.95238,-1.9777,-2.7937,1.9324,0.06441,-6.8921,-0.8254,-2.9557,0.83736
-13.333,-2.807,-10.667,-14.706,-7.8818,-16.780001,-0.96618,-10.692,-1.9968,-14.706,-7.8818,-14.706,-1.9048,-5.8054,-7.5556,-3.8647,-4.7665,-7.8583,5.8413,-5.9113,-3.0274
-16.177,-6.6348,-11.642,-13.725,-7.8818,-17.756001,-4.8309,-11.659,-1.0306,-13.725,-7.8818,-15.686,-3.8095,-6.7624,-9.4603,-7.7295,-7.6651,-9.7907,6.7937,-6.8966,-3.9936
-16.177,-5.6778,-11.642,-13.725,-8.867,-16.780001,-4.8309,-10.692,-2.963,-13.725,-8.867,-13.725,-2.8571,-3.8915,-9.4603,-6.7633,-7.6651,-7.8583,2.9841,-6.8966,-0.12882
-16.177,-4.7209,-10.667,-16.667,-11.823,-14.829,-4.8309,-11.659,-2.963,-16.667,-11.823,-11.765,-4.7619,-3.8915,-11.365,-3.8647,-8.6312,-7.8583,-0.8254,-8.867,-1.095
-8.594,0.0638,-2.8618,-12.745,-8.867,-8.0,-0.96618,-7.7939,-1.0306,-12.745,-8.867,-5.8824,-3.8095,-1.9777,-8.5079,1.9324,-3.8003,-5.9259,3.9365,-5.9113,0.83736
-0.06319,3.8915,4.9431,-3.9216,-5.9113,1.7561,0.96618,-1.0306,-0.06441,-3.9216,-5.9113,0.0,-2.8571,-1.9777,-2.7937,5.7971,0.06441,-0.12882,9.6508,-1.9704,2.7697
2.7804,2.9346,6.8943,-1.9608,-1.9704,4.6829,1.9324,-0.06441,-1.0306,-1.9608,-1.9704,2.9412,-5.7143,-5.8054,-3.746,2.8986,-0.90177,2.7697,-2.7302,-2.9557,1.8035
3.7283,2.9346,6.8943,-3.9216,0.0,1.7561,2.8986,-1.0306,2.8341,-3.9216,0.0,2.9412,-7.619,-7.7193,-2.7937,1.9324,-0.90177,-3.9936,-4.6349,-4.9261,-1.095
4.6761,2.9346,8.8455,-3.9216,0.0,-0.19512,1.9324,-2.963,1.868,-3.9216,0.0,2.9412,-7.619,-5.8054,-0.88889,2.8986,1.0306,-4.9597,5.8413,-4.9261,-0.12882
10.363,6.7624,12.748,0.98039,0.0,4.6829,0.96618,-0.06441,-1.0306,0.98039,0.0,7.8431,-3.8095,-1.0207,3.873,6.7633,6.8277,-0.12882,9.6508,-1.9704,2.7697
