C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
1.195,-3.746,-1.9417,-16.827999,-14.959,-3.3974,-3.2206,-10.962,-9.7262,-16.827999,-14.959,-3.9409,0.0,-0.0638,-0.57143,-1.9231,-1.9324,-5.2564,-1.2063,-0.65359,-0.76923
-2.5786,-5.0159,-3.8835,-3.2362,-10.407,-5.9615,-8.3736,-9.6795,1.868,-3.2362,-10.407,-6.5681,0.0,-0.0638,-3.1111,-3.2051,-3.8647,6.2821,-1.8413,-1.9608,-1.4103
-5.7233,-4.381,-5.178,4.5307,10.407,-4.0385,-8.3736,-9.0385,-3.285,4.5307,10.407,-5.2545,-5.7143,-3.8915,-6.9206,-5.1282,-7.0853,10.128,0.69841,-2.6144,-1.4103
-5.7233,-3.1111,-4.5307,11.003,14.309,-1.4744,-5.153,-0.70513,0.57971,11.003,14.309,-1.9704,-8.254,-5.8054,-8.1905,-5.7692,-9.6618,5.641,1.3333,-3.268,-2.0513
4.9686,1.3333,1.2945,12.945,3.252,5.5769,1.9324,12.115,7.0209,12.945,3.252,5.2545,-3.8095,-0.70175,-1.8413,-1.2821,-5.153,-28.333,-0.57143,1.9608,1.7949
1.195,0.06349,0.64725,11.003,1.9512,6.2179,5.153,8.9103,-0.06441,11.003,1.9512,3.9409,-5.0794,-3.2536,-3.746,-2.5641,-5.7971,-3.3333,-1.8413,-1.3072,-1.4103
-0.06289,-5.0159,-2.589,-3.8835,0.0,5.5769,1.9324,9.5513,3.1562,-3.8835,0.0,0.65681,-7.619,-7.7193,-5.0159,-6.4103,-7.0853,19.743999,8.9524,-4.5752,-4.6154
1.8239,-1.8413,-0.64725,3.8835,1.3008,4.2949,1.2882,8.2692,7.6651,3.8835,1.3008,2.6273,-5.7143,-5.8054,-1.8413,-2.5641,-3.2206,12.051,10.857,-1.3072,0.51282
3.0818,4.5079,2.589,7.767,11.057,4.9359,6.4412,15.962,5.7327,7.767,11.057,3.9409,-5.0794,-6.4434,0.69841,0.64103,-0.64412,10.128,-6.9206,-0.65359,1.1538
-2.5786,-3.1111,-2.589,1.2945,9.7561,0.44872,4.5089,10.833,3.8003,1.2945,9.7561,-0.65681,-10.794,-10.271,-5.6508,-6.4103,-5.7971,-0.12821,5.7778,-5.2288,-7.8205
-4.4654,-5.0159,-5.8252,5.178,-6.5041,-0.83333,-3.2206,0.57692,5.0886,5.178,-6.5041,-2.6273,-8.254,-8.3573,-6.9206,-7.6923,-7.7295,-16.153999,10.222,-5.8824,-9.7436
-3.2075,-3.746,-7.1197,7.1197,-3.9024,-0.83333,-5.153,-4.5513,14.106,7.1197,-3.9024,-3.9409,-3.8095,-5.8054,-5.6508,-5.7692,-7.0853,-9.1026,6.4127,1.3072,-3.9744
-3.2075,-3.746,-7.1197,9.0615,0.65041,-1.4744,-4.5089,5.7051,-0.70853,9.0615,0.65041,-3.9409,3.8095,-0.0638,-3.746,-3.8462,-6.4412,16.538,-0.57143,6.5359,3.0769
-3.2075,-4.381,-7.1197,-1.2945,1.9512,-1.4744,0.64412,9.5513,-3.9291,-1.2945,1.9512,-2.6273,0.63492,-0.70175,-6.2857,-5.7692,-8.3736,15.897,5.1429,1.9608,-0.12821
-11.384,-8.8254,-11.003,-3.2362,3.252,-3.3974,-3.2206,-1.9872,8.3092,-3.2362,3.252,-4.5977,-10.794,-10.271,-15.175,-12.821,-16.103001,-2.0513,8.3175,-10.458,-9.7436
-6.9811,-3.1111,-6.4725,7.1197,-0.65041,4.2949,0.64412,5.0641,8.9533,7.1197,-0.65041,2.6273,-10.159,-8.9952,-12.0,-7.6923,-11.594,-8.4615,3.2381,-12.418,-6.5385
-0.69182,0.69841,-1.2945,4.5307,3.252,6.859,1.9324,11.474,4.4444,4.5307,3.252,4.5977,-5.0794,-4.5295,-5.0159,-1.9231,-5.153,-20.641001,7.0476,-5.2288,-3.9744
0.56604,3.2381,2.589,-9.0615,5.2033,3.0128,8.3736,1.2179,1.868,-9.0615,5.2033,5.9113,-1.2698,-0.70175,-1.2063,1.2821,0.0,3.7179,7.0476,-0.65359,0.51282
1.195,1.3333,0.64725,-2.589,3.252,2.3718,7.0853,1.2179,1.868,-2.589,3.252,3.9409,-1.9048,-0.70175,0.69841,1.2821,1.2882,1.1538,-5.0159,-3.9216,-0.76923
-0.06289,-3.1111,-1.9417,8.4142,4.5528,-1.4744,2.5765,-3.9103,2.5121,8.4142,4.5528,0.65681,-3.1746,-2.6156,0.06349,-1.2821,0.0,2.4359,-2.4762,-3.9216,-1.4103
-0.06289,-0.57143,-0.64725,4.5307,-1.9512,1.0897,3.8647,-1.9872,-3.285,4.5307,-1.9512,2.6273,1.2698,-1.9777,0.69841,-0.64103,-0.64412,0.51282,-1.2063,0.65359,-0.76923
-6.9811,-1.2063,-5.178,-1.9417,-7.1545,0.44872,0.64412,-1.9872,-1.9968,-1.9417,-7.1545,0.0,-3.8095,-3.2536,-6.9206,-3.8462,-7.0853,-3.3333,-3.746,-4.5752,-0.76923
-8.8679,-5.0159,-7.767,4.5307,3.9024,-3.3974,-5.7971,-0.70513,7.6651,4.5307,3.9024,-3.9409,-6.9841,-5.8054,-10.095,-7.0513,-10.306,-16.153999,-1.2063,-8.4967,-5.2564
-6.3522,-6.2857,-7.1197,0.64725,10.407,-4.0385,-8.3736,4.4231,11.53,0.64725,10.407,-4.5977,-4.4444,-4.5295,-8.1905,-5.1282,-7.7295,0.51282,0.69841,-4.5752,-5.8974
-2.5786,-3.746,-5.178,-7.1197,1.9512,-0.19231,-7.0853,6.3462,-1.9968,-7.1197,1.9512,-3.2841,-2.5397,-1.3397,-5.6508,-1.9231,-4.5089,11.41,1.9683,-1.3072,-1.4103
-0.06289,1.9683,-1.2945,-2.589,-1.3008,1.0897,3.2206,3.7821,-8.438,-2.589,-1.3008,0.0,0.63492,1.8501,-0.57143,2.5641,0.0,8.2051,-1.2063,2.6144,3.0769
-0.06289,5.1429,0.0,2.589,0.0,0.44872,5.7971,4.4231,-1.9968,2.589,0.0,0.0,1.9048,3.764,0.06349,4.4872,0.64412,-0.12821,-2.4762,0.65359,7.5641
-5.7233,-5.0159,-6.4725,-12.298,-10.407,-9.1667,-2.5765,-8.3974,-1.9968,-12.298,-10.407,-7.225,-5.7143,-2.6156,-6.2857,-5.1282,-7.7295,-18.077,5.7778,-3.9216,-1.4103
-3.8365,-4.381,-4.5307,-7.1197,-4.5528,-5.9615,-3.8647,-14.808,4.4444,-7.1197,-4.5528,-3.2841,-5.0794,-2.6156,-5.0159,-5.1282,-7.0853,-9.1026,4.5079,-5.8824,-0.76923
-0.06289,1.3333,0.64725,5.178,0.65041,2.3718,1.9324,-2.6282,4.4444,5.178,0.65041,1.9704,1.2698,3.126,-0.57143,0.64103,-0.64412,1.7949,3.2381,-3.268,5.0
4.3396,0.69841,1.9417,7.1197,5.2033,4.2949,0.0,0.57692,-3.285,7.1197,5.2033,2.6273,2.5397,1.2121,3.2381,1.2821,2.5765,-5.2564,-3.746,1.9608,3.0769
4.3396,1.9683,3.2362,12.298,1.9512,4.9359,-3.2206,1.859,-0.06441,12.298,1.9512,1.9704,3.8095,1.8501,5.1429,2.5641,3.8647,1.7949,-12.0,1.3072,3.0769
