C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-2.9068,-0.88889,-10.732,3.9216,3.8835,2.7184,3.8647,5.7327,-0.06472,3.9216,3.8835,1.9802,-8.5308,-9.6332,-8.5079,-14.493,-14.423,-2.0415,-1.8325,-9.7561,-10.705
-3.8547,1.0159,-9.7561,6.8627,4.8544,1.7476,5.7971,5.7327,4.7896,6.8627,4.8544,2.9703,-8.5308,-5.8054,-8.5079,-7.7295,-11.538,-2.0415,3.8547,-8.7805,-4.9359
0.88468,2.9206,0.0,2.9412,1.9417,2.7184,4.8309,5.7327,4.7896,2.9412,1.9417,3.9604,-3.7915,-2.9346,-3.746,3.8647,-2.8846,-0.12759,8.594,-3.9024,3.7179
1.8325,-0.88889,0.97561,0.98039,0.0,-1.165,-0.96618,1.868,1.877,0.98039,0.0,-1.9802,1.8957,-0.0638,1.0159,5.7971,0.96154,2.7432,4.8025,0.97561,6.6026
0.88468,-4.6984,-1.9512,3.9216,0.97087,-1.165,-1.9324,0.90177,-1.0356,3.9216,0.97087,-3.9604,-1.8957,0.89314,0.06349,1.9324,-1.9231,5.614,0.06319,0.97561,3.7179
-1.0111,-5.6508,-7.8049,4.902,-0.97087,0.7767,-1.9324,2.8341,-1.0356,4.902,-0.97087,-2.9703,-5.6872,-1.0207,-1.8413,-2.8986,-3.8462,2.7432,-1.8325,0.0,-0.12821
-0.06319,-2.7937,-8.7805,2.9412,5.8252,1.7476,1.9324,3.8003,1.877,2.9412,5.8252,0.0,-5.6872,-1.0207,0.06349,-0.96618,-1.9231,-0.12759,0.06319,-1.9512,-2.0513
-1.9589,-0.88889,-4.878,0.0,9.7087,-0.19417,2.8986,1.868,2.8479,0.0,9.7087,0.0,-10.427,-5.8054,-2.7937,-3.8647,-4.8077,-2.9984,-1.8325,-5.8537,-4.9359
-1.9589,-3.746,-2.9268,1.9608,4.8544,-2.1359,-0.96618,-0.06441,2.8479,1.9608,4.8544,-1.9802,-5.6872,-6.7624,-2.7937,-8.6957,-6.7308,-2.9984,-3.7283,0.0,-7.8205
-5.7504,-10.413,-5.8537,-2.9412,-0.97087,-5.0485,-5.7971,-1.0306,-1.0356,-2.9412,-0.97087,-6.9307,2.8436,-1.0207,-2.7937,-9.6618,-4.8077,-1.0845,-5.624,1.9512,-5.8974
-12.385,-15.175,-13.659,-1.9608,-0.97087,-6.0194,-8.6957,-0.06441,-3.9482,-1.9608,-0.97087,-9.901,0.0,0.89314,-10.413,-11.594,-9.6154,-2.9984,-10.363,-5.8537,-4.9359
-11.438,-12.317,-16.584999,3.9216,0.0,-2.1359,-2.8986,2.8341,-3.9482,3.9216,0.0,-4.9505,-8.5308,-3.8915,-16.127001,-11.594,-14.423,-4.9123,-9.4155,-11.707,-5.8974
-2.9068,-2.7937,-7.8049,8.8235,3.8835,2.7184,0.96618,3.8003,-0.06472,8.8235,3.8835,1.9802,-5.6872,-1.9777,-8.5079,-5.7971,-9.6154,-4.9123,0.06319,-6.8293,-2.0513
1.8325,5.7778,0.0,5.8824,8.7379,4.6602,4.8309,2.8341,1.877,5.8824,8.7379,6.9307,-0.94787,-1.9777,-3.746,0.0,-5.7692,-5.8692,5.7504,-2.9268,-0.12821
-2.9068,2.9206,-1.9512,6.8627,5.8252,0.7767,2.8986,-0.06441,1.877,6.8627,5.8252,2.9703,-4.7393,-7.7193,-5.6508,0.0,-6.7308,-5.8692,1.9589,-5.8537,-3.0128
-5.7504,-4.6984,-8.7805,2.9412,4.8544,-2.1359,0.0,-0.06441,2.8479,2.9412,4.8544,-2.9703,-6.6351,-6.7624,-6.6032,-2.8986,-5.7692,-4.9123,1.0111,-7.8049,-3.9744
-1.9589,-4.6984,-5.8537,1.9608,4.8544,2.7184,0.0,1.868,5.7605,1.9608,4.8544,0.0,1.8957,-0.0638,0.06349,0.0,0.96154,-0.12759,2.9068,0.0,-0.12821
3.7283,1.0159,1.9512,0.98039,2.9126,6.6019,2.8986,2.8341,3.8188,0.98039,2.9126,4.9505,9.4787,4.7209,6.7302,5.7971,7.6923,1.7863,5.7504,6.8293,5.641
5.624,4.8254,5.8537,5.8824,1.9417,5.6311,2.8986,2.8341,-2.0065,5.8824,1.9417,5.9406,4.7393,1.8501,9.5873,7.7295,9.6154,1.7863,1.9589,7.8049,2.7564
5.624,2.9206,4.878,2.9412,1.9417,0.7767,-0.96618,2.8341,-5.89,2.9412,1.9417,1.9802,3.7915,0.89314,10.54,5.7971,8.6538,2.7432,-3.7283,8.7805,-0.12821
4.6761,0.06349,2.9268,2.9412,0.0,1.7476,-1.9324,4.7665,-3.9482,2.9412,0.0,0.9901,3.7915,3.764,9.5873,3.8647,8.6538,3.7002,-4.6761,8.7805,1.7949
